sites,type,sfs
0,Draw,200184.2045
1,Draw,13250.09873
2,Draw,7577.7157
3,Draw,5677.176575
4,Draw,4756.35057
5,Draw,4237.608664
6,Draw,3925.449027
7,Draw,3735.460044
8,Draw,3625.3848
9,Draw,3571.883151
10,Draw,3561.160878
11,Draw,3584.684506
12,Draw,3637.029579
13,Draw,3714.719276
14,Draw,3815.560735
15,Draw,3938.24816
16,Draw,4082.116767
17,Draw,4246.986023
18,Draw,4433.057886
19,Draw,4640.850178
20,Draw,4871.153157
21,Draw,5125.001929
22,Draw,5403.660034
23,Draw,5708.611192
24,Draw,6041.557249
25,Draw,6404.421017
26,Draw,6799.353146
27,Draw,7228.742502
28,Draw,7695.229672
29,Draw,8201.723447
30,Draw,8751.420175
31,Draw,9347.826022
32,Draw,9994.78221
33,Draw,10696.49339
34,Draw,11457.55935
35,Draw,12283.01034
36,Draw,13178.34623
37,Draw,14149.58006
38,Draw,15203.28618
39,Draw,16346.65362
40,Draw,17587.54521
41,Draw,18934.56309
42,Draw,20397.12131
43,Draw,21985.5264
44,Draw,23711.06684
45,Draw,25586.11253
46,Draw,27624.22545
47,Draw,29840.28308
48,Draw,32250.61611
49,Draw,34873.16239
50,Draw,37727.63942
51,Draw,40835.73788
52,Draw,44221.33936
53,Draw,47910.76173
54,Draw,51933.03649
55,Draw,56320.22315
56,Draw,61107.76654
57,Draw,66334.90433
58,Draw,72045.13359
59,Draw,78286.74681
60,Draw,85113.45064
61,Draw,92585.08334
62,Draw,100768.4511
63,Draw,109738.3084
64,Draw,119578.5145
65,Draw,130383.4071
66,Draw,142259.4469
67,Draw,155327.2014
68,Draw,169723.7629
69,Draw,185605.7233
70,Draw,203152.8783
71,Draw,222572.8962
72,Draw,244107.2884
73,Draw,268039.1635
74,Draw,294703.4793
75,Draw,324500.8695
76,Draw,357916.7175
77,Draw,395548.1567
78,Draw,438143.445
79,Draw,486661.4038
80,Draw,542364.8873
81,Draw,606975.1355
82,Draw,682942.4116
83,Draw,773957.6498
84,Draw,886019.3933
85,Draw,1029977.566
86,Draw,1228916.447
87,Draw,1547862.635
88,Draw,1448514.497
0,Observed,180184.2045
1,Observed,16051.995
2,Observed,8334.174367
3,Observed,6226.977449
4,Observed,5199.356631
5,Observed,4638.786468
6,Observed,4289.865722
7,Observed,4090.248054
8,Observed,3971.571248
9,Observed,3898.833851
10,Observed,3895.552465
11,Observed,3924.538044
12,Observed,3975.94643
13,Observed,4064.543861
14,Observed,4172.829609
15,Observed,4304.085062
16,Observed,4461.591606
17,Observed,4647.536831
18,Observed,4847.701397
19,Observed,5074.663951
20,Observed,5334.987266
21,Observed,5604.607842
22,Observed,5913.605055
23,Observed,6229.711937
24,Observed,6626.212785
25,Observed,6996.462542
26,Observed,7432.340025
27,Observed,7911.422429
28,Observed,8409.099354
29,Observed,8981.15437
30,Observed,9571.257011
31,Observed,10215.50253
32,Observed,10945.06409
33,Observed,11685.5636
34,Observed,12539.27094
35,Observed,13431.80802
36,Observed,14406.37976
37,Observed,15480.48688
38,Observed,16647.56662
39,Observed,17867.69544
40,Observed,19246.42459
41,Observed,20713.20428
42,Observed,22291.0042
43,Observed,24060.21833
44,Observed,25942.64028
45,Observed,27980.92809
46,Observed,30233.5998
47,Observed,32639.94977
48,Observed,35271.07471
49,Observed,38149.39741
50,Observed,41260.15165
51,Observed,44682.09068
52,Observed,48396.62
53,Observed,52401.55201
54,Observed,56815.01662
55,Observed,61603.65306
56,Observed,66865.35603
57,Observed,72570.04616
58,Observed,78820.54021
59,Observed,85638.1672
60,Observed,93140.51013
61,Observed,101301.3179
62,Observed,110241.455
63,Observed,120051.7063
64,Observed,130843.0921
65,Observed,142699.8347
66,Observed,155623.0278
67,Observed,169911.2777
68,Observed,185705.6839
69,Observed,203052.1858
70,Observed,222374.0822
71,Observed,243548.8682
72,Observed,267053.4384
73,Observed,293272.2621
74,Observed,322553.7129
75,Observed,355038.3438
76,Observed,391653.1462
77,Observed,432871.7336
78,Observed,479522.1092
79,Observed,532543.8432
80,Observed,593533.3301
81,Observed,664294.7855
82,Observed,747399.1756
83,Observed,847135.2722
84,Observed,969795.6806
85,Observed,1127663.724
86,Observed,1345833.256
87,Observed,1696955.812
88,Observed,1268514.497
