ftb,Freq
0,14462
1,4506
2,4317
3,2686
4,2424
5,1962
6,1983
7,1616
8,1651
9,1446
10,1511
11,1222
12,1302
13,1311
14,1316
15,1252
16,1237
17,1113
18,1177
19,1152
20,1154
21,1131
22,1137
23,1184
24,1184
25,1090
26,1134
27,1080
28,1065
29,1111
30,1170
31,1153
32,1187
33,1199
34,1122
35,1216
36,1133
37,1202
38,1268
39,1249
40,1356
41,1355
42,1410
43,1468
44,1478
45,1617
46,1642
47,1659
48,1746
49,1751
50,1854
51,1949
52,2069
53,2181
54,2182
55,2281
56,2435
57,2584
58,2770
59,2869
60,3124
61,3293
62,3475
63,3742
64,4069
65,4443
66,4742
67,5211
68,5607
69,6034
70,6633
71,7338
72,8203
73,9212
74,10374
75,11624
76,13142
77,14629
78,16835
79,19637
80,22910
81,26570
82,31713
83,37269
84,44856
85,54370
86,66015
87,82005
88,100980
89,126296
90,159681
91,200391
92,254451
93,324142
94,411552
95,522075
96,654364
97,804692
98,947721
99,1037597
100,1002917
101,768287
102,367848
