ftb,Freq
0,33
1,6
2,3
3,3
4,5
5,4
6,13
7,2
8,3
9,5
10,11
11,6
12,8
13,7
14,8
15,5
16,12
17,5
18,11
19,9
20,11
21,12
22,10
23,12
24,7
25,13
26,2
27,21
28,8
29,11
30,16
31,18
32,26
33,19
34,20
35,18
36,19
37,19
38,18
39,16
40,19
41,31
42,26
43,27
44,19
45,33
46,40
47,36
48,36
49,35
50,40
51,44
52,38
53,53
54,59
55,59
56,68
57,63
58,74
59,88
60,84
61,90
62,87
63,103
64,103
65,121
66,155
67,167
68,166
69,199
70,229
71,197
72,278
73,291
74,353
75,378
76,418
77,469
78,545
79,658
80,831
81,956
82,1104
83,1338
84,1563
85,1879
86,2338
87,3029
88,3674
89,4689
90,6102
91,7753
92,9792
93,12790
94,16649
95,21654
96,28375
97,36073
98,43827
99,50071
100,49966
101,38389
102,18334
