ftb,Freq
0,765
1,456
2,470
3,369
4,354
5,363
6,336
7,298
8,284
9,289
10,290
11,315
12,274
13,281
14,271
15,259
16,297
17,259
18,274
19,264
20,271
21,223
22,270
23,238
24,275
25,267
26,248
27,273
28,283
29,305
30,299
31,278
32,289
33,334
34,293
35,306
36,329
37,329
38,352
39,328
40,386
41,365
42,402
43,360
44,375
45,424
46,432
47,436
48,476
49,496
50,481
51,471
52,508
53,512
54,502
55,542
56,514
57,590
58,616
59,587
60,677
61,668
62,698
63,707
64,767
65,783
66,735
67,921
68,867
69,1021
70,1012
71,1106
72,1171
73,1231
74,1341
75,1371
76,1651
77,1614
78,1770
79,2030
80,2224
81,2471
82,2747
83,3108
84,3589
85,3975
86,4907
87,5787
88,6975
89,8186
90,9968
91,12352
92,15431
93,19114
94,24040
95,29903
96,37313
97,44848
98,52325
99,56523
100,53997
101,40884
102,19704
