ftb,Freq
0,31411
1,9782
2,7170
3,5377
4,4494
5,3761
6,3573
7,3324
8,3029
9,2918
10,2776
11,2662
12,2618
13,2638
14,2632
15,2479
16,2577
17,2445
18,2447
19,2475
20,2571
21,2492
22,2501
23,2423
24,2552
25,2539
26,2546
27,2654
28,2807
29,2809
30,2935
31,3077
32,3307
33,3463
34,3818
35,3847
36,4276
37,4502
38,4919
39,5444
40,5870
41,6354
42,6765
43,7708
44,8273
45,9375
46,10263
47,11288
48,12757
49,13908
50,15640
51,17712
52,19246
53,21487
54,23756
55,26567
56,28871
57,31787
58,34742
59,38019
60,41865
61,45459
62,49372
63,53573
64,57950
65,63137
66,67408
67,73415
68,79320
69,85663
70,93179
71,100477
72,108549
73,117547
74,127578
75,138432
76,150587
77,163008
78,176003
79,191598
80,206624
81,223274
82,238823
83,255091
84,271287
85,287030
86,301393
87,314893
88,326407
89,336456
90,343202
91,347616
92,348774
93,344291
94,336070
95,322303
96,299817
97,271139
98,233911
99,185967
100,133658
101,78589
102,30681
