ftb,Freq
0,3542
1,1786
2,1469
3,1089
4,932
5,858
6,745
7,727
8,729
9,615
10,546
11,532
12,490
13,549
14,487
15,500
16,505
17,492
18,523
19,495
20,465
21,467
22,525
23,502
24,478
25,441
26,498
27,524
28,523
29,536
30,538
31,556
32,594
33,580
34,623
35,601
36,676
37,660
38,692
39,728
40,740
41,765
42,809
43,856
44,951
45,939
46,985
47,1031
48,1172
49,1244
50,1304
51,1426
52,1506
53,1663
54,1784
55,1880
56,2073
57,2234
58,2361
59,2634
60,2916
61,3050
62,3283
63,3527
64,3760
65,4138
66,4347
67,4791
68,5181
69,5398
70,6013
71,6459
72,7068
73,7594
74,8160
75,8697
76,9463
77,10339
78,11042
79,11941
80,13136
81,13637
82,14381
83,15474
84,16458
85,17203
86,17900
87,18364
88,18652
89,19299
90,19564
91,19365
92,18787
93,18059
94,17426
95,16308
96,14345
97,12409
98,10424
99,7972
100,5400
101,3147
102,1187
