ftb,Freq
0,393119
1,32650
2,4384
3,932
4,315
5,125
6,82
7,71
8,34
9,31
10,25
11,14
12,16
13,10
14,10
15,5
16,5
17,6
18,4
19,4
20,3
21,1
22,1
23,5
24,3
25,0
26,0
27,1
28,0
29,0
30,1
31,1
32,1
33,0
34,0
35,0
36,1
37,0
38,1
39,2
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
