ftb,Freq
0,22255
1,6946
2,5243
3,3784
4,3304
5,2744
6,2394
7,2193
8,2008
9,1819
10,1735
11,1597
12,1468
13,1500
14,1427
15,1400
16,1347
17,1145
18,1225
19,1086
20,1103
21,1040
22,1045
23,1057
24,981
25,974
26,941
27,983
28,973
29,937
30,903
31,832
32,876
33,852
34,792
35,862
36,865
37,797
38,848
39,842
40,833
41,816
42,777
43,791
44,839
45,813
46,892
47,857
48,896
49,936
50,896
51,962
52,923
53,935
54,960
55,1013
56,998
57,1012
58,1043
59,1051
60,1100
61,1168
62,1208
63,1139
64,1292
65,1290
66,1432
67,1394
68,1485
69,1497
70,1619
71,1707
72,1803
73,1939
74,2055
75,2179
76,2197
77,2396
78,2634
79,2782
80,2984
81,3297
82,3608
83,3858
84,4285
85,4824
86,5427
87,5984
88,6813
89,7821
90,8749
91,10560
92,12490
93,14659
94,17445
95,21276
96,25234
97,29944
98,33583
99,36426
100,35912
101,30382
102,17252
