ftb,Freq
0,15873
1,5027
2,4424
3,2944
4,2502
5,1966
6,1841
7,1470
8,1427
9,1385
10,1153
11,1154
12,1021
13,1017
14,931
15,866
16,818
17,794
18,810
19,735
20,714
21,689
22,700
23,640
24,664
25,630
26,653
27,586
28,655
29,650
30,608
31,608
32,573
33,685
34,612
35,637
36,634
37,670
38,682
39,657
40,677
41,699
42,701
43,684
44,730
45,735
46,725
47,766
48,757
49,791
50,833
51,824
52,878
53,931
54,901
55,960
56,922
57,1023
58,1037
59,1089
60,1127
61,1177
62,1244
63,1332
64,1423
65,1439
66,1546
67,1631
68,1717
69,1709
70,1899
71,2066
72,2207
73,2300
74,2452
75,2456
76,2769
77,2885
78,3090
79,3354
80,3606
81,3668
82,4063
83,4338
84,4692
85,5376
86,5916
87,6506
88,7399
89,8248
90,9425
91,10832
92,12544
93,14796
94,17234
95,20153
96,24093
97,28199
98,33064
99,37625
100,41568
101,43198
102,36688
