ftb,Freq
0,15623
1,4663
2,3956
3,2782
4,2483
5,1833
6,1897
7,1578
8,1472
9,1347
10,1370
11,1198
12,1177
13,1013
14,1090
15,1056
16,964
17,1007
18,900
19,877
20,939
21,906
22,845
23,842
24,830
25,856
26,839
27,779
28,778
29,771
30,705
31,726
32,750
33,761
34,762
35,742
36,740
37,728
38,759
39,751
40,748
41,737
42,761
43,705
44,820
45,789
46,747
47,815
48,840
49,880
50,854
51,845
52,890
53,888
54,933
55,867
56,910
57,974
58,1016
59,1060
60,1045
61,1131
62,1139
63,1150
64,1209
65,1242
66,1325
67,1423
68,1462
69,1544
70,1683
71,1744
72,1769
73,1922
74,2045
75,2149
76,2182
77,2314
78,2487
79,2822
80,3050
81,3266
82,3689
83,3900
84,4293
85,4907
86,5498
87,6214
88,7243
89,8067
90,9747
91,11243
92,13206
93,15802
94,18596
95,22273
96,26943
97,31185
98,36039
99,38934
100,38389
101,31508
102,18055
