ftb,Freq
0,83089
1,26658
2,18870
3,13231
4,11375
5,9353
6,8702
7,7498
8,6880
9,6034
10,5792
11,5317
12,4962
13,4843
14,4608
15,4456
16,4246
17,3983
18,3971
19,3617
20,3633
21,3496
22,3501
23,3303
24,3297
25,3185
26,3148
27,2917
28,2895
29,2901
30,2700
31,2800
32,2757
33,2688
34,2646
35,2682
36,2622
37,2690
38,2673
39,2571
40,2548
41,2563
42,2698
43,2680
44,2690
45,2600
46,2668
47,2701
48,2797
49,2726
50,2716
51,2763
52,2776
53,2911
54,2804
55,3018
56,3038
57,3142
58,3153
59,3248
60,3366
61,3393
62,3451
63,3602
64,3627
65,3829
66,3973
67,4054
68,4183
69,4417
70,4691
71,4803
72,5012
73,5280
74,5528
75,5739
76,6078
77,6575
78,6816
79,7354
80,7720
81,8172
82,8640
83,9137
84,10020
85,10800
86,11642
87,12534
88,13723
89,14680
90,15947
91,17649
92,19685
93,21980
94,24878
95,27371
96,30692
97,34151
98,37375
99,38655
100,37288
101,31211
102,17997
