ftb,Freq
0,201243
1,46549
2,32069
3,19239
4,15854
5,12121
6,11048
7,9174
8,8202
9,6924
10,6560
11,5603
12,5271
13,4718
14,4570
15,4492
16,4222
17,3822
18,3632
19,3409
20,3379
21,3183
22,2969
23,2943
24,2931
25,2672
26,2663
27,2576
28,2545
29,2555
30,2418
31,2382
32,2180
33,2231
34,2213
35,2223
36,2199
37,2200
38,2183
39,2142
40,2145
41,2188
42,2139
43,2064
44,2209
45,2180
46,2138
47,2219
48,2162
49,2121
50,2034
51,2110
52,2113
53,2190
54,2132
55,2157
56,2222
57,2289
58,2276
59,2311
60,2191
61,2291
62,2391
63,2358
64,2505
65,2511
66,2539
67,2594
68,2602
69,2657
70,2771
71,2801
72,2890
73,3038
74,3061
75,3120
76,3275
77,3431
78,3575
79,3504
80,3707
81,3883
82,4022
83,4214
84,4346
85,4775
86,4883
87,5071
88,5681
89,5791
90,6413
91,6950
92,7669
93,8291
94,9147
95,10098
96,11491
97,13173
98,15183
99,17855
100,21382
101,23796
102,20796
