ftb,Freq
0,71146
1,23817
2,17989
3,12655
4,10628
5,8746
6,7949
7,7242
8,6816
9,5954
10,5377
11,5104
12,4999
13,4603
14,4400
15,4217
16,4004
17,3635
18,3679
19,3392
20,3395
21,3336
22,3231
23,3097
24,3062
25,3043
26,3078
27,2859
28,2808
29,2763
30,2650
31,2798
32,2579
33,2556
34,2570
35,2493
36,2587
37,2445
38,2649
39,2561
40,2461
41,2513
42,2609
43,2571
44,2594
45,2616
46,2630
47,2693
48,2681
49,2787
50,2743
51,2758
52,2791
53,2751
54,2833
55,3016
56,3134
57,3180
58,3261
59,3271
60,3438
61,3493
62,3604
63,3668
64,3802
65,3797
66,3999
67,4161
68,4271
69,4473
70,4813
71,4919
72,5287
73,5478
74,5799
75,6005
76,6397
77,6731
78,7142
79,7635
80,8165
81,8580
82,9300
83,9991
84,10705
85,11655
86,12599
87,13756
88,14858
89,16512
90,18033
91,19871
92,22086
93,24977
94,28048
95,31080
96,35239
97,38821
98,42345
99,43718
100,41785
101,33938
102,19198
