ftb,Freq
0,48073
1,11839
2,7020
3,4889
4,4021
5,3100
6,2841
7,2273
8,2176
9,2173
10,1995
11,1681
12,1753
13,1704
14,1460
15,1358
16,1378
17,1290
18,1297
19,1315
20,1268
21,1216
22,1161
23,1163
24,1086
25,1091
26,1103
27,1017
28,1163
29,977
30,1061
31,998
32,1052
33,1020
34,1089
35,1022
36,1103
37,1070
38,1013
39,1146
40,1099
41,1155
42,1189
43,1179
44,1249
45,1328
46,1328
47,1355
48,1482
49,1516
50,1590
51,1645
52,1781
53,1812
54,1931
55,2071
56,2054
57,2331
58,2452
59,2535
60,2754
61,2912
62,3133
63,3196
64,3505
65,3756
66,4002
67,4129
68,4371
69,4556
70,4884
71,5201
72,5580
73,5721
74,6314
75,6556
76,7139
77,7428
78,7860
79,8445
80,8880
81,9599
82,10129
83,10672
84,11249
85,11969
86,12373
87,12874
88,13330
89,13847
90,14130
91,14183
92,14515
93,14463
94,14315
95,13804
96,12816
97,11861
98,10636
99,8964
100,6952
101,4692
102,2281
