ftb,Freq
0,33022
1,8291
2,5657
3,3710
4,3021
5,2463
6,2304
7,1855
8,1819
9,1556
10,1486
11,1307
12,1315
13,1272
14,1345
15,1199
16,1076
17,1082
18,1162
19,1117
20,1110
21,1063
22,1039
23,1060
24,975
25,1004
26,997
27,968
28,935
29,877
30,1006
31,930
32,941
33,981
34,1028
35,1041
36,996
37,1007
38,1082
39,1100
40,1127
41,1193
42,1192
43,1202
44,1215
45,1312
46,1386
47,1340
48,1427
49,1516
50,1541
51,1651
52,1644
53,1948
54,1981
55,2031
56,2236
57,2364
58,2517
59,2572
60,2848
61,2952
62,3288
63,3343
64,3624
65,3800
66,4040
67,4265
68,4592
69,4916
70,5177
71,5521
72,5854
73,6227
74,6663
75,7159
76,7519
77,7904
78,8527
79,9013
80,9693
81,10158
82,10838
83,11311
84,12151
85,12584
86,13096
87,13941
88,14321
89,14801
90,15017
91,15212
92,15377
93,15612
94,14939
95,14565
96,13834
97,12716
98,11044
99,9222
100,7137
101,4888
102,2313
