ftb,Freq
0,417811
1,47282
2,12808
3,5573
4,3314
5,2229
6,1698
7,1288
8,1112
9,931
10,805
11,670
12,620
13,537
14,479
15,444
16,375
17,366
18,328
19,296
20,255
21,245
22,205
23,179
24,189
25,181
26,148
27,142
28,125
29,96
30,106
31,109
32,75
33,72
34,77
35,59
36,55
37,50
38,53
39,39
40,35
41,32
42,29
43,30
44,23
45,15
46,23
47,21
48,16
49,8
50,13
51,11
52,8
53,9
54,15
55,8
56,8
57,6
58,5
59,3
60,4
61,1
62,1
63,0
64,2
65,1
66,2
67,4
68,1
69,0
70,1
71,2
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
