ftb,Freq
0,512163
1,33983
2,6276
3,2072
4,1076
5,680
6,485
7,356
8,258
9,221
10,147
11,136
12,101
13,101
14,89
15,76
16,76
17,64
18,51
19,40
20,43
21,30
22,26
23,31
24,26
25,23
26,15
27,15
28,12
29,17
30,8
31,14
32,8
33,14
34,19
35,11
36,5
37,11
38,8
39,9
40,5
41,5
42,5
43,3
44,2
45,4
46,7
47,1
48,0
49,2
50,0
51,2
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
