ftb,Freq
0,403751
1,48239
2,13454
3,5937
4,3534
5,2480
6,1772
7,1356
8,1138
9,1011
10,838
11,753
12,685
13,551
14,522
15,464
16,440
17,394
18,373
19,371
20,326
21,250
22,255
23,240
24,203
25,211
26,185
27,154
28,136
29,143
30,136
31,112
32,109
33,83
34,89
35,77
36,62
37,68
38,81
39,54
40,54
41,45
42,34
43,34
44,38
45,26
46,28
47,30
48,21
49,17
50,12
51,17
52,15
53,12
54,5
55,9
56,6
57,6
58,11
59,7
60,7
61,9
62,3
63,1
64,4
65,1
66,1
67,4
68,2
69,2
70,2
71,1
72,0
73,2
74,1
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
