ftb,Freq
0,750182
1,90657
2,28760
3,14031
4,8684
5,5934
6,4769
7,3643
8,3100
9,2521
10,2286
11,1985
12,1843
13,1638
14,1474
15,1313
16,1197
17,1076
18,962
19,919
20,818
21,726
22,676
23,651
24,552
25,497
26,473
27,421
28,362
29,330
30,309
31,277
32,276
33,236
34,195
35,189
36,154
37,137
38,124
39,116
40,124
41,96
42,79
43,87
44,63
45,59
46,56
47,53
48,41
49,43
50,35
51,27
52,30
53,26
54,17
55,22
56,18
57,15
58,14
59,11
60,18
61,12
62,5
63,4
64,12
65,3
66,5
67,6
68,9
69,2
70,2
71,2
72,0
73,3
74,1
75,1
76,1
77,0
78,3
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
