ftb,Freq
0,788932
1,38565
2,8434
3,3772
4,2188
5,1529
6,1135
7,860
8,736
9,613
10,529
11,448
12,386
13,368
14,342
15,310
16,270
17,246
18,209
19,196
20,186
21,181
22,148
23,138
24,135
25,113
26,90
27,91
28,87
29,79
30,67
31,61
32,49
33,50
34,43
35,35
36,41
37,24
38,24
39,30
40,19
41,19
42,26
43,17
44,15
45,12
46,12
47,15
48,14
49,5
50,5
51,3
52,6
53,4
54,4
55,4
56,4
57,2
58,6
59,2
60,2
61,0
62,0
63,2
64,3
65,2
66,0
67,2
68,2
69,0
70,0
71,1
72,0
73,2
74,1
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
