ftb,Freq
0,126851
1,32876
2,20942
3,14610
4,11807
5,9422
6,8267
7,7545
8,6556
9,6055
10,5677
11,5425
12,5019
13,4665
14,4431
15,4196
16,4200
17,3821
18,3682
19,3854
20,3540
21,3572
22,3393
23,3423
24,3190
25,3330
26,3145
27,3093
28,3162
29,3049
30,3038
31,3070
32,3007
33,2937
34,3087
35,3042
36,2991
37,3057
38,3131
39,3323
40,3345
41,3305
42,3304
43,3329
44,3553
45,3662
46,3704
47,3767
48,3946
49,4083
50,4269
51,4353
52,4544
53,4592
54,4927
55,5141
56,5257
57,5654
58,5838
59,6048
60,6405
61,6690
62,6782
63,7114
64,7636
65,8007
66,8268
67,8514
68,8887
69,9185
70,9765
71,10280
72,10852
73,11181
74,11834
75,12409
76,12787
77,13622
78,13998
79,14436
80,15306
81,15786
82,16180
83,16749
84,17438
85,17375
86,18193
87,18524
88,18657
89,18432
90,18649
91,18643
92,18047
93,17577
94,16869
95,16114
96,14851
97,13189
98,11728
99,9847
100,7537
101,5016
102,2430
