ftb,Freq
0,47093
1,11857
2,8524
3,4885
4,3746
5,2885
6,2682
7,2005
8,1882
9,1533
10,1460
11,1229
12,1090
13,998
14,919
15,877
16,808
17,751
18,767
19,671
20,686
21,634
22,563
23,587
24,596
25,495
26,552
27,501
28,491
29,535
30,484
31,485
32,408
33,495
34,466
35,440
36,450
37,511
38,505
39,467
40,477
41,476
42,498
43,463
44,525
45,506
46,512
47,551
48,520
49,546
50,506
51,538
52,514
53,584
54,568
55,552
56,511
57,602
58,592
59,578
60,590
61,630
62,665
63,677
64,683
65,710
66,760
67,798
68,791
69,791
70,810
71,889
72,989
73,952
74,939
75,1055
76,1114
77,1155
78,1218
79,1258
80,1390
81,1421
82,1509
83,1593
84,1621
85,1856
86,1977
87,2259
88,2419
89,2499
90,2778
91,3165
92,3513
93,3875
94,4399
95,4748
96,5451
97,5988
98,6742
99,7241
100,7606
101,7403
102,5792
