ftb,Freq
0,110666
1,27213
2,15486
3,10017
4,7091
5,5287
6,4128
7,3103
8,2646
9,2189
10,1942
11,1582
12,1446
13,1244
14,1178
15,1006
16,919
17,853
18,860
19,812
20,738
21,701
22,669
23,638
24,640
25,573
26,546
27,531
28,529
29,512
30,513
31,529
32,477
33,468
34,454
35,444
36,472
37,432
38,481
39,436
40,491
41,452
42,441
43,418
44,437
45,449
46,461
47,455
48,425
49,370
50,424
51,412
52,443
53,440
54,462
55,441
56,434
57,450
58,439
59,432
60,503
61,506
62,515
63,496
64,541
65,550
66,557
67,573
68,634
69,596
70,659
71,650
72,651
73,680
74,741
75,715
76,718
77,789
78,813
79,826
80,834
81,855
82,846
83,938
84,970
85,952
86,1052
87,1045
88,1080
89,1106
90,1086
91,1117
92,1144
93,1117
94,1110
95,1016
96,1025
97,930
98,910
99,830
100,737
101,574
102,411
