ftb,Freq
0,233476
1,11026
2,2116
3,860
4,468
5,324
6,247
7,183
8,138
9,116
10,101
11,71
12,62
13,67
14,55
15,52
16,39
17,43
18,39
19,36
20,25
21,29
22,26
23,21
24,27
25,17
26,14
27,14
28,13
29,17
30,11
31,14
32,7
33,9
34,11
35,8
36,6
37,5
38,10
39,6
40,1
41,3
42,5
43,2
44,3
45,2
46,2
47,3
48,2
49,1
50,1
51,1
52,1
53,0
54,3
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,2
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
