ftb,Freq
0,1329834
1,74042
2,14983
3,5918
4,3310
5,2244
6,1644
7,1227
8,1008
9,843
10,680
11,597
12,494
13,476
14,437
15,390
16,347
17,314
18,264
19,241
20,234
21,212
22,176
23,173
24,166
25,138
26,106
27,107
28,100
29,96
30,76
31,76
32,58
33,64
34,62
35,47
36,46
37,35
38,33
39,42
40,23
41,24
42,31
43,20
44,18
45,16
46,19
47,16
48,14
49,7
50,5
51,5
52,6
53,5
54,5
55,4
56,4
57,2
58,6
59,2
60,2
61,0
62,0
63,3
64,3
65,2
66,0
67,3
68,2
69,0
70,0
71,1
72,0
73,2
74,1
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
