ftb,Freq
0,244868
1,12412
2,2535
3,1006
4,639
5,401
6,317
7,212
8,202
9,164
10,141
11,138
12,103
13,120
14,97
15,78
16,87
17,66
18,57
19,53
20,57
21,46
22,41
23,42
24,38
25,19
26,18
27,22
28,14
29,14
30,21
31,17
32,14
33,13
34,12
35,7
36,11
37,5
38,6
39,11
40,7
41,5
42,5
43,4
44,5
45,3
46,8
47,2
48,1
49,2
50,0
51,1
52,2
53,1
54,0
55,1
56,0
57,0
58,2
59,0
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,2
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
