ftb,Freq
0,366149
1,74495
2,39889
3,24594
4,17351
5,12379
6,10081
7,7748
8,6306
9,5190
10,4750
11,3912
12,3568
13,3129
14,2889
15,2549
16,2314
17,2085
18,2124
19,2018
20,1883
21,1734
22,1546
23,1513
24,1474
25,1432
26,1303
27,1250
28,1199
29,1221
30,1156
31,1067
32,1095
33,1060
34,1024
35,1039
36,1071
37,1047
38,969
39,1052
40,1030
41,980
42,963
43,904
44,958
45,980
46,1003
47,992
48,1014
49,1017
50,1051
51,889
52,1046
53,1093
54,1037
55,1054
56,1183
57,1212
58,1194
59,1227
60,1337
61,1378
62,1402
63,1415
64,1538
65,1551
66,1626
67,1770
68,1827
69,1832
70,1986
71,2072
72,2171
73,2258
74,2541
75,2547
76,2691
77,2739
78,2930
79,3040
80,3397
81,3256
82,3557
83,3641
84,3844
85,3998
86,4387
87,4425
88,4684
89,4771
90,5119
91,5118
92,5262
93,5373
94,5263
95,5130
96,4716
97,4365
98,4006
99,3398
100,2814
101,2000
102,1244
