ftb,Freq
0,226831
1,54331
2,32868
3,22910
4,17973
5,14336
6,12567
7,10774
8,9670
9,8701
10,8288
11,7566
12,7181
13,6858
14,6517
15,6039
16,5918
17,5591
18,5474
19,5456
20,5177
21,5036
22,4827
23,4585
24,4608
25,4549
26,4415
27,4305
28,4453
29,4270
30,4168
31,4316
32,4337
33,4379
34,4323
35,4391
36,4372
37,4392
38,4263
39,4459
40,4514
41,4638
42,4600
43,4591
44,4979
45,5048
46,5058
47,5325
48,5644
49,5656
50,5805
51,6044
52,6379
53,6591
54,6963
55,7341
56,7538
57,7967
58,8491
59,8571
60,9231
61,9627
62,10166
63,10599
64,11364
65,11938
66,12374
67,12910
68,13620
69,14119
70,14995
71,15826
72,16704
73,17393
74,18385
75,19267
76,20618
77,21398
78,22222
79,23406
80,24599
81,25973
82,27197
83,28272
84,29444
85,30673
86,31427
87,32408
88,33069
89,33458
90,33866
91,33824
92,33857
93,33242
94,32224
95,30641
96,28590
97,26229
98,23323
99,19620
100,15395
101,10410
102,5143
