ftb,Freq
0,176246
1,45966
2,29278
3,20365
4,16408
5,13250
6,11613
7,10331
8,9186
9,8272
10,7759
11,7247
12,6799
13,6502
14,6268
15,5847
16,5764
17,5371
18,5266
19,5340
20,5009
21,5006
22,4817
23,4882
24,4547
25,4697
26,4517
27,4423
28,4427
29,4309
30,4357
31,4355
32,4276
33,4303
34,4431
35,4412
36,4296
37,4411
38,4477
39,4794
40,4810
41,4862
42,4835
43,4919
44,5191
45,5432
46,5524
47,5539
48,5821
49,6081
50,6290
51,6486
52,6765
53,7102
54,7500
55,7811
56,8145
57,8693
58,9099
59,9395
60,10003
61,10491
62,10991
63,11429
64,12171
65,12871
66,13447
67,13976
68,14643
69,15392
70,16267
71,17126
72,18203
73,18969
74,20175
75,21322
76,22395
77,23590
78,24717
79,25753
80,27344
81,28622
82,29767
83,30994
84,32672
85,33094
86,34719
87,35953
88,36624
89,37074
90,37347
91,37670
92,37169
93,36873
94,35501
95,34210
96,31891
97,28885
98,25347
99,21214
100,16365
101,11010
102,5354
