ftb,Freq
0,9287
1,5311
2,5548
3,4519
4,4505
5,4087
6,3988
7,3771
8,3865
9,3494
10,3564
11,3414
12,3295
13,3371
14,3281
15,3088
16,3131
17,2980
18,2947
19,2954
20,3100
21,2976
22,3190
23,2921
24,2965
25,2889
26,2995
27,3035
28,2958
29,2830
30,2980
31,2921
32,3083
33,3031
34,3129
35,3060
36,3189
37,3276
38,3390
39,3488
40,3573
41,3736
42,3843
43,3845
44,4006
45,4336
46,4535
47,4702
48,4885
49,5290
50,5544
51,6041
52,6428
53,6784
54,7445
55,7999
56,8724
57,9518
58,10109
59,11144
60,11783
61,12694
62,13961
63,15159
64,16378
65,17710
66,19235
67,20374
68,22026
69,24112
70,25805
71,28090
72,30028
73,32299
74,35253
75,38116
76,40721
77,43728
78,47275
79,51098
80,54383
81,57980
82,62184
83,66188
84,70365
85,74202
86,77630
87,81727
88,84557
89,88193
90,90516
91,92326
92,93093
93,93484
94,91667
95,89566
96,85199
97,79511
98,69870
99,59673
100,44949
101,28267
102,11669
