ftb,Freq
0,234362
1,70359
2,40923
3,28165
4,20745
5,15372
6,12374
7,9842
8,7994
9,6767
10,6143
11,5136
12,4690
13,4267
14,3990
15,3561
16,3358
17,3151
18,3055
19,2836
20,2657
21,2636
22,2524
23,2452
24,2268
25,2272
26,2183
27,2139
28,2052
29,2034
30,1917
31,1955
32,1938
33,1911
34,1865
35,1859
36,1806
37,1860
38,1731
39,1834
40,1850
41,1873
42,1865
43,1734
44,1853
45,1884
46,1893
47,1900
48,1964
49,1950
50,2045
51,2066
52,2094
53,2149
54,2195
55,2275
56,2422
57,2479
58,2508
59,2687
60,2797
61,2896
62,2975
63,3010
64,3197
65,3282
66,3508
67,3702
68,3744
69,3892
70,4165
71,4378
72,4681
73,4923
74,5163
75,5429
76,5777
77,6046
78,6393
79,6753
80,7133
81,7516
82,7846
83,8229
84,8504
85,9243
86,9448
87,10013
88,10613
89,10932
90,11306
91,11859
92,11994
93,12216
94,12404
95,12268
96,12211
97,12135
98,11631
99,11304
100,10700
101,9561
102,6888
