ftb,Freq
0,246959
1,70072
2,52402
3,34653
4,29847
5,23968
6,22243
7,19193
8,17936
9,15692
10,14600
11,13315
12,12671
13,12018
14,11493
15,11217
16,10589
17,9826
18,9822
19,8890
20,8954
21,8502
22,8248
23,7963
24,7862
25,7626
26,7517
27,7203
28,7006
29,6988
30,6678
31,6682
32,6426
33,6445
34,6335
35,6303
36,6292
37,6177
38,6271
39,6077
40,6009
41,6056
42,6149
43,6017
44,6205
45,5991
46,6000
47,6155
48,6168
49,6220
50,6036
51,5980
52,6123
53,6103
54,6156
55,6187
56,6289
57,6391
58,6461
59,6560
60,6573
61,6662
62,6822
63,6768
64,6845
65,6893
66,7125
67,7097
68,7285
69,7328
70,7568
71,7674
72,7908
73,8136
74,8208
75,8307
76,8816
77,9043
78,9409
79,9601
80,9761
81,10006
82,10399
83,10573
84,11040
85,11561
86,11919
87,12204
88,13210
89,13544
90,14413
91,15290
92,16502
93,17554
94,18949
95,20482
96,22389
97,24730
98,27803
99,31847
100,37128
101,42383
102,39737
