ftb,Freq
0,535475
1,136235
2,80639
3,54723
4,41705
5,32313
6,27469
7,23440
8,20029
9,17375
10,16276
11,14778
12,13459
13,12692
14,11889
15,10991
16,10644
17,10240
18,9448
19,9236
20,9012
21,8736
22,8500
23,7848
24,7684
25,7303
26,7272
27,7133
28,6934
29,6783
30,6621
31,6764
32,6591
33,6356
34,6352
35,6218
36,6108
37,6077
38,6086
39,6291
40,6215
41,5976
42,5897
43,5747
44,5975
45,6018
46,5815
47,5821
48,5854
49,5776
50,5848
51,5934
52,5838
53,5591
54,5876
55,5908
56,5905
57,6086
58,6046
59,5927
60,6134
61,6096
62,6130
63,6011
64,6206
65,6315
66,6346
67,6238
68,6276
69,6214
70,6374
71,6469
72,6499
73,6433
74,6604
75,6569
76,6555
77,6729
78,6589
79,6547
80,6755
81,6576
82,6692
83,6898
84,6836
85,6744
86,6825
87,6890
88,6879
89,6834
90,6808
91,6877
92,6860
93,6797
94,6944
95,6936
96,7001
97,7116
98,7355
99,7605
100,7794
101,7572
102,5929
