ftb,Freq
0,1325267
1,122943
2,43708
3,23933
4,15913
5,11457
6,9390
7,7444
8,6377
9,5422
10,4732
11,4270
12,3976
13,3540
14,3233
15,2925
16,2683
17,2494
18,2256
19,2032
20,2037
21,1784
22,1627
23,1496
24,1351
25,1282
26,1121
27,1018
28,925
29,872
30,800
31,707
32,659
33,611
34,532
35,494
36,419
37,413
38,351
39,350
40,320
41,256
42,255
43,225
44,208
45,170
46,181
47,168
48,129
49,105
50,97
51,81
52,79
53,70
54,65
55,61
56,55
57,54
58,42
59,28
60,34
61,29
62,17
63,27
64,30
65,12
66,13
67,16
68,19
69,7
70,12
71,11
72,4
73,9
74,5
75,4
76,4
77,0
78,3
79,1
80,1
81,3
82,1
83,3
84,2
85,1
86,0
87,0
88,0
89,2
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
