Feature	Total Ratio	Chiapet_ratio	Type	Col
Up 5K	0.012703551	0.0036219	hyper	#E39500
Up 5K	0.027634545	0.016079341	hypo	#43A178
Exon	0.071533718	0.052506923	hyper	#E39500
Exon	0.04763995	0.035282649	hypo	#43A178
Intron	0.013249789	0.005059455	hyper	#E39500
Intron	0.010323755	0.007148648	hypo	#43A178
Down 5K	0.013434814	0.005021231	hyper	#E39500
Down 5K	0.034783235	0.023583719	hypo	#43A178
Intergenic	0.015340695	0.001012193	hyper	#E39500
Intergenic	0.035968481	0.026137747	hypo	#43A178
TE	0.003678346	0.0007959	hyper	#E39500
TE	0.008181074	0.006024505	hypo	#43A178
