ftb,Freq
0,186379
1,43399
2,31699
3,18910
4,15977
5,11999
6,10561
7,8702
8,8087
9,6775
10,6396
11,5418
12,5061
13,4469
14,4186
15,3917
16,3759
17,3514
18,3279
19,3103
20,3112
21,2832
22,2738
23,2509
24,2400
25,2293
26,2354
27,2170
28,2078
29,2112
30,1978
31,2076
32,1873
33,1905
34,1814
35,1942
36,1843
37,1899
38,1853
39,1923
40,1790
41,1880
42,1817
43,1811
44,1800
45,1854
46,1934
47,1764
48,1872
49,1899
50,1787
51,1891
52,1926
53,1888
54,1969
55,1973
56,1953
57,1988
58,2028
59,2062
60,2049
61,2092
62,2147
63,2248
64,2292
65,2364
66,2415
67,2534
68,2490
69,2560
70,2645
71,2765
72,2976
73,3055
74,3127
75,3282
76,3560
77,3689
78,3766
79,4028
80,3982
81,4289
82,4452
83,4788
84,5213
85,5520
86,5903
87,6472
88,6975
89,7564
90,8327
91,9049
92,9870
93,11000
94,12205
95,13660
96,15198
97,16802
98,18328
99,19332
100,19407
101,17246
102,12167
