ftb,Freq
0,27003
1,10470
2,8303
3,5925
4,5325
5,4300
6,3872
7,3376
8,3070
9,2727
10,2494
11,2256
12,2105
13,1823
14,1686
15,1633
16,1553
17,1453
18,1334
19,1264
20,1261
21,1129
22,1061
23,995
24,993
25,938
26,951
27,865
28,849
29,846
30,808
31,779
32,745
33,723
34,716
35,812
36,722
37,721
38,738
39,736
40,657
41,715
42,671
43,671
44,679
45,729
46,773
47,652
48,733
49,686
50,642
51,718
52,699
53,716
54,750
55,742
56,707
57,740
58,743
59,733
60,744
61,770
62,767
63,805
64,838
65,917
66,857
67,926
68,861
69,964
70,926
71,1022
72,1082
73,1030
74,1100
75,1144
76,1260
77,1319
78,1280
79,1418
80,1317
81,1461
82,1537
83,1612
84,1767
85,1819
86,1946
87,2101
88,2209
89,2348
90,2668
91,2705
92,2977
93,3245
94,3499
95,3884
96,4315
97,4614
98,4896
99,5115
100,5093
101,4863
102,3531
