ftb,Freq
0,488105
1,122895
2,71203
3,44009
4,32521
5,24396
6,19553
7,15094
8,12602
9,10866
10,9255
11,8006
12,7255
13,6419
14,5854
15,5046
16,4839
17,4607
18,4266
19,3941
20,3623
21,3598
22,3457
23,3199
24,3096
25,2964
26,2867
27,2779
28,2657
29,2547
30,2556
31,2474
32,2423
33,2392
34,2259
35,2418
36,2327
37,2386
38,2162
39,2342
40,2274
41,2273
42,2160
43,2268
44,2274
45,2288
46,2255
47,2221
48,2343
49,2425
50,2389
51,2422
52,2493
53,2472
54,2549
55,2581
56,2624
57,2838
58,2924
59,2991
60,3047
61,3135
62,3325
63,3396
64,3588
65,3656
66,3767
67,3932
68,4260
69,4447
70,4646
71,4855
72,5098
73,5517
74,5928
75,6175
76,6446
77,6846
78,7123
79,7364
80,8020
81,8427
82,8738
83,9078
84,9664
85,9985
86,10695
87,11239
88,11893
89,12251
90,12847
91,13203
92,13823
93,13978
94,14293
95,14096
96,14109
97,14154
98,13711
99,13069
100,12185
101,10668
102,7578
