ftb,Freq
0,828629
1,35768
2,6499
3,2578
4,1500
5,991
6,711
7,576
8,382
9,392
10,294
11,292
12,247
13,210
14,165
15,158
16,146
17,140
18,101
19,101
20,98
21,95
22,79
23,67
24,73
25,52
26,53
27,32
28,33
29,36
30,30
31,35
32,21
33,25
34,21
35,19
36,20
37,15
38,13
39,7
40,10
41,11
42,9
43,6
44,9
45,6
46,11
47,4
48,0
49,5
50,3
51,2
52,1
53,1
54,4
55,1
56,0
57,2
58,0
59,0
60,0
61,0
62,0
63,2
64,0
65,1
66,1
67,1
68,0
69,0
70,0
71,2
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
