ftb,Freq
0,1325098
1,73571
2,15053
3,5842
4,3359
5,2159
6,1590
7,1255
8,962
9,856
10,678
11,618
12,529
13,485
14,404
15,355
16,339
17,311
18,260
19,254
20,234
21,208
22,177
23,185
24,128
25,139
26,137
27,97
28,95
29,92
30,59
31,77
32,66
33,66
34,54
35,50
36,44
37,41
38,32
39,23
40,31
41,31
42,21
43,17
44,25
45,12
46,25
47,13
48,10
49,7
50,4
51,7
52,6
53,2
54,7
55,4
56,2
57,3
58,4
59,2
60,1
61,0
62,2
63,4
64,1
65,2
66,2
67,1
68,2
69,0
70,0
71,2
72,1
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
