trait,Her_K1,Her_K2,Her_K3,Her_Top,Her_ALL,pretty_name,h2
asiavg,0,0,0.738769,0,0.725015,Anthesis-silking interval,0.738769
dtaavg,0,0.005994,0.801803,0,0.786016,NA,0.807797
dtsavg,0,0.017942,0.804928,0,0.816701,NA,0.82287
ehtavg,0,0.003598,0.796494,0,0.797342,Ear height,0.800092
ehtdivphtavg,0,0.002911,0.754658,0,0.746653,Ratio of ear height to total height,0.757569
Kwt_5loc_residuals,0,0,0.794328,0,0.704403,100 Kernel weight,0.794328
nlb_residuals,0.016026,0,0.924997,0,0.795388,Northern Leaf Blight,0.941023
nphavg,0,0,0.770281,0,0.764496,Nodes per plant,0.770281
nteavg,0,0,0.758806,0,0.75437,Nodes to ear,0.758806
nttavg,0.023128,0,0.756142,0,0.770438,Nodes above ear,0.77927
phtavg,0.003381,0,0.811926,0,0.806732,Plant height,0.815307
phtdivdtravg,0.003352,0,0.777954,0,0.769507,Height per day (until flowering),0.781306
phtdivnphavg,0.004833,0,0.772535,0,0.77005,Average internode length (whole plant),0.777368
ppgddta_pop,0.000151,0,0.632109,0,0.623595,Photoperiod growing-degree days to anthesis,0.63226
ppgddts_pop,0.004452,4.4e-05,0.624956,0,0.629452,Photoperiod Growing-degree days to silk,0.629452
Residual_leaf_length_noIBM,0.011047,0,0.788748,0,0.787463,Leaf length,0.799795
Residual_leaf_width_noIBM,0.003583,0.042265,0.753987,0,0.799836,Leaf width,0.799835
residuals_distancebased_for_d2a,0,0.007801,0.795547,0,0.788483,Days to anthesis,0.803348
residuals_distancebased_for_d2s,0,0.008985,0.809978,0,0.812092,Days to silk,0.818963
residuals_distancebased_for_slbv2,0,0,0.815337,0,0.755499,Southern leaf blight,0.815337
rpravg,0.004357,0,0.263844,0,0.238916,Stalk strength,0.268201
sf_residuals_nopop,0.016521,0.003493,0.781665,0,0.801679,Cob diameter,0.801679
so_residuals_nopop,0.006396,0,0.81206,0,0.814197,Ear row number,0.818456
tassel_branches,0.00198,0,0.839089,0,0.826913,Tassel branch number,0.841069
tassel_length,0.185899,0,0.719743,0,0.790777,Tassel length,0.905642
thtavg,0.009356,0,0.755112,0,0.747901,Height above ear,0.764468
thtdivnttavg,0,0.00519,0.687468,0,0.687568,Average internode length (above ear),0.692658
