trait,Her_K1,Her_K2,Her_K3,Her_Top,Her_ALL,pretty_name,h2
asiavg,0,0,0.882541,0,0.707358,Anthesis-silking interval,0.882541
dtaavg,0,0,0.836553,0,0.799578,NA,0.836553
dtsavg,0,0,0.823388,0,0.815365,NA,0.823388
ehtavg,0.005922,0.000503,0.791812,0,0.798237,Ear height,0.798237
ehtdivphtavg,0,0,0.760156,0,0.744884,Ratio of ear height to total height,0.760156
Kwt_5loc_residuals,0.004232,0,0.641581,0,0.63718,100 Kernel weight,0.645813
nlb_residuals,0,0,0.885371,0,0.840103,Northern Leaf Blight,0.885371
nphavg,0.13769,0,0.677828,0,0.772075,Nodes per plant,0.815518
nteavg,0.004586,0,0.756713,0,0.754297,Nodes to ear,0.761299
nttavg,0,0,0.78237,0,0.771773,Nodes above ear,0.78237
phtavg,0.013512,0,0.796434,0,0.807921,Plant height,0.809946
phtdivdtravg,0.009388,0.000987,0.76061,0,0.770985,Height per day (until flowering),0.770985
phtdivnphavg,0.003052,0,0.770647,0,0.769842,Average internode length (whole plant),0.773699
ppgddta_pop,0,0,0.63444,0,0.623114,Photoperiod growing-degree days to anthesis,0.63444
ppgddts_pop,0,0,0.735479,0,0.599902,Photoperiod Growing-degree days to silk,0.735479
Residual_leaf_length_noIBM,0,0,0.798276,0,0.788513,Leaf length,0.798276
Residual_leaf_width_noIBM,0,0.005708,0.795453,0,0.797879,Leaf width,0.801161
residuals_distancebased_for_d2a,0,0,0.801214,0,0.788694,Days to anthesis,0.801214
residuals_distancebased_for_d2s,0,0,0.821958,0,0.811819,Days to silk,0.821958
residuals_distancebased_for_slbv2,0,0,0.764115,0,0.752089,Southern leaf blight,0.764115
rpravg,0,0,0.267373,0,0.24491,Stalk strength,0.267373
sf_residuals_nopop,0.016429,0,0.78834,0,0.80204,Cob diameter,0.804769
so_residuals_nopop,0,0,0.830515,0,0.812796,Ear row number,0.830515
tassel_branches,0,0,0.833092,0,0.828604,Tassel branch number,0.833092
tassel_length,0,0,0.796328,0,0.783134,Tassel length,0.796328
thtavg,0.003646,0,0.754324,0,0.748212,Height above ear,0.75797
thtdivnttavg,0.009657,0.002513,0.675351,0,0.687521,Average internode length (above ear),0.687521
