trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
AA_Res_With_IBM_For_GWAS,0.206249,-0.019387,-0.010975,-0.00469,-0.077956, 0.208874, 0.302115,CG_landrace_maize,S74,Total amino acids,0.093241
AA_Res_With_IBM_For_GWAS,0.009557,0.000191,0.014579,-0.0105,-0.001283, 0.416803, 0.429348,CG_landrace_maize,S99,Total amino acids,0.012544
AA_Res_With_IBM_For_GWAS,0.045418,-0.003892,-0.006487,-0.120384,-0.189771, 0.465140, 0.190025,CG_landrace_maize,S97,Total amino acids,-0.275116
AA_Res_With_IBM_For_GWAS,0.003157,-0.005584,-0.038271,-0.009022,-0.1237, 0.439080, 0.265661,CG_landrace_maize,S80,Total amino acids,-0.17342
AA_Res_With_IBM_For_GWAS,-0.023224,0.022243,-0.012755,-0.020637,-0.012011, 0.564476, 0.518091,CG_landrace_maize,S79,Total amino acids,-0.046384
AA_Res_With_IBM_For_GWAS,0.000689,0.001726,0.000868,-0.001443,-0.000341, 0.436039, 0.437538,CG_landrace_maize,S98,Total amino acids,0.001499
AA_Res_With_IBM_For_GWAS,-0.00889,-0.000796,-0.02493,0.006686,-0.040762, 0.462308, 0.393616,CG_landrace_maize,S26,Total amino acids,-0.068692
AA_Res_With_IBM_For_GWAS,0.015799,-0.024494,-0.019456,0.012976,0.017251, 0.502113, 0.504189,CG_landrace_maize,S8,Total amino acids,0.002076
AA_Res_With_IBM_For_GWAS,-0.02577,-0.029725,-0.018987,-0.021532,1.336755,-0.051786, 1.188956,CG_landrace_maize,S96,Total amino acids,1.240741
AA_Res_With_IBM_For_GWAS,-0.003972,-0.006724,-0.17672,-0.013804,-0.00247, 0.512814, 0.309124,CG_landrace_maize,S85,Total amino acids,-0.20369
AA_Res_With_IBM_For_GWAS,0.004167,-0.01649,-0.018023,-0.017451,-0.006127, 0.509009, 0.455084,CG_landrace_maize,S93,Total amino acids,-0.053924
AA_Res_With_IBM_For_GWAS,-0.033295,-0.058869,-0.072343,-0.033245,-0.004266, 0.640280, 0.438261,CG_landrace_maize,S95,Total amino acids,-0.202018
AA_Res_With_IBM_For_GWAS,-0.093973,0.146191,0.033559,-0.019141,-0.003947, 0.118512, 0.181202,CG_landrace_maize,S89,Total amino acids,0.062689
AA_Res_With_IBM_For_GWAS,0.003638,-0.021081,-0.028378,-0.000247,-0.23477, 0.581108, 0.300271,CG_landrace_maize,S91,Total amino acids,-0.280838
AA_Res_With_IBM_For_GWAS,0.004898,0.003772,0.001731,0.000742,0.00302,0.417778,0.431941,CG_landrace_maize,S75,Total amino acids,0.014163
AA_Res_With_IBM_For_GWAS,-0.401217,-0.129413,-0.384049,0.023098,23.474523,-7.257932,15.325010,CG_landrace_maize,S94,Total amino acids,22.582942
AA_Res_With_IBM_For_GWAS,0.013086,0.005663,-0.002926,0.000694,-0.074812, 0.496913, 0.438618,CG_landrace_maize,S9,Total amino acids,-0.058295
AA_Res_With_IBM_For_GWAS,0.018086,-0.000461,0.005723,-0.007019,-0.060784, 0.436448, 0.391992,CG_landrace_maize,S73,Total amino acids,-0.044455
AA_Res_With_IBM_For_GWAS,-0.077599,-0.111967,0.002843,-0.092294,3.31723,-0.593351, 2.444862,CG_landrace_maize,S92,Total amino acids,3.038213
AA_Res_With_IBM_For_GWAS,-0.00405,-0.006746,-0.091676,0.060022,-0.085072, 0.328310, 0.200788,CG_landrace_maize,S81,Total amino acids,-0.127522
AA_Res_With_IBM_For_GWAS,-0.012201,-0.030804,-0.003206,-0.018419,-0.005362, 0.527143, 0.457151,CG_landrace_maize,S27,Total amino acids,-0.069992
AA_Res_With_IBM_For_GWAS,-0.016797,-0.013723,-0.013491,-0.03801,-0.013456, 0.662373, 0.566895,CG_landrace_maize,S90,Total amino acids,-0.095477
AA_Res_With_IBM_For_GWAS,-0.00618,0.006528,0.00515,-0.005066,-1.027799, 0.895544,-0.131821,CG_landrace_maize,S71,Total amino acids,-1.027367
AA_Res_With_IBM_For_GWAS,0.054666,-0.043526,0.000589,-0.02514,-0.050465, 0.422726, 0.358850,CG_landrace_maize,S88,Total amino acids,-0.063876
AA_Res_With_IBM_For_GWAS,-0.300402,-0.24795,-0.40911,-0.241227,-10.491414,  5.578601, -6.111501,CG_landrace_maize,S25,Total amino acids,-11.690103
AA_Res_With_IBM_For_GWAS,-0.241769,-0.628059,0.068104,-0.090397,-5.48194, 1.943709,-4.430353,CG_landrace_maize,S63,Total amino acids,-6.374061
AA_Res_With_IBM_For_GWAS,-0.017555,-0.097924,-0.030854,0.069406,-0.020236, 0.463146, 0.365984,CG_landrace_maize,S78,Total amino acids,-0.097163
AA_Res_With_IBM_For_GWAS,-0.013026,-0.090748,-0.054967,-0.131238,0.003194, 0.647327, 0.360542,CG_landrace_maize,S86,Total amino acids,-0.286785
AA_Res_With_IBM_For_GWAS,-0.019353,-0.005873,-0.051621,-0.042643,-0.021124, 0.476296, 0.335681,CG_landrace_maize,S56,Total amino acids,-0.140614
AA_Res_With_IBM_For_GWAS,-0.006616,-0.004437,-0.00761,-0.05255,-0.288365, 0.581985, 0.222408,CG_landrace_maize,S61,Total amino acids,-0.359578
AA_Res_With_IBM_For_GWAS,0.062535,0.061809,-0.003625,-0.004676,-0.017374,-0.038300, 0.060368,CG_landrace_maize,S70,Total amino acids,0.098669
AA_Res_With_IBM_For_GWAS,-0.156838,-0.041067,-0.126145,-0.088525,-0.057614, 0.632077, 0.161888,CG_landrace_maize,S87,Total amino acids,-0.470189
AA_Res_With_IBM_For_GWAS,0.063215,-0.038605,-0.038095,-0.034608,-0.170887, 0.449203, 0.230222,CG_landrace_maize,S76,Total amino acids,-0.21898
AA_Res_With_IBM_For_GWAS,0.046731,0.009442,-0.023762,0.016099,-0.527319, 0.543750, 0.064941,CG_landrace_maize,S62,Total amino acids,-0.478809
AA_Res_With_IBM_For_GWAS,-0.017633,-0.005309,-0.016702,-0.022572,-0.005814, 0.449072, 0.381041,CG_landrace_maize,S77,Total amino acids,-0.06803
AA_Res_With_IBM_For_GWAS,0.001492,-0.207107,-0.028467,-0.028166,0.075057,-0.016637,-0.203828,CG_landrace_maize,S82,Total amino acids,-0.187191
AA_Res_With_IBM_For_GWAS,-0.005615,-0.015751,-0.01836,-0.045558,-0.01042, 0.038960,-0.056744,CG_landrace_maize,S58,Total amino acids,-0.095704
AA_Res_With_IBM_For_GWAS,-0.008528,-0.007357,-0.014967,-0.013114,0.003345, 0.466250, 0.425629,CG_landrace_maize,S60,Total amino acids,-0.040621
AA_Res_With_IBM_For_GWAS,-0.004065,-0.015148,0.226065,0.000333,-0.058219, 0.315409, 0.464376,CG_landrace_maize,S44,Total amino acids,0.148966
AA_Res_With_IBM_For_GWAS,-0.001944,0.002572,-0.002239,0.031599,2.428438,-0.568691, 1.889734,CG_landrace_maize,S72,Total amino acids,2.458426
AA_Res_With_IBM_For_GWAS,-0.011783,-0.017185,-0.019648,-0.027663,-0.043211, 0.431180, 0.311690,CG_landrace_maize,S4,Total amino acids,-0.11949
AA_Res_With_IBM_For_GWAS,0.001391,0.006034,-0.006292,-0.045607,-0.636498, 0.754666, 0.073695,CG_landrace_maize,S59,Total amino acids,-0.680972
AA_Res_With_IBM_For_GWAS,-0.040114,-0.064329,-0.055102,-0.027235,-0.095403, 0.452698, 0.170515,CG_landrace_maize,S23,Total amino acids,-0.282183
AA_Res_With_IBM_For_GWAS,0.010958,-0.011309,-0.001203,-0.011076,-0.062786, 0.532955, 0.457540,CG_landrace_maize,S45,Total amino acids,-0.075416
AA_Res_With_IBM_For_GWAS,-0.023064,-0.020346,-0.048939,-0.114416,-0.122879, 0.473796, 0.144151,CG_landrace_maize,S57,Total amino acids,-0.329644
AA_Res_With_IBM_For_GWAS,-0.003102,-0.027079,-0.020198,-0.013392,-0.004334, 0.385366, 0.317261,CG_landrace_maize,S54,Total amino acids,-0.068105
AA_Res_With_IBM_For_GWAS,-0.030389,-0.013034,-0.003427,0.276957,-0.026612, 0.350791, 0.554286,CG_landrace_maize,S24,Total amino acids,0.203495
AA_Res_With_IBM_For_GWAS,-0.019897,-0.01063,-0.003342,-0.000129,1.380581,-0.092690, 1.253894,CG_landrace_maize,S43,Total amino acids,1.346583
AA_Res_With_IBM_For_GWAS,-0.027432,-0.068889,-0.031437,-0.090835,-0.486981, 0.654964,-0.050610,CG_landrace_maize,S28,Total amino acids,-0.705574
AA_Res_With_IBM_For_GWAS,0.023588,0.102589,-0.015934,-0.009222,-0.002489, 0.103782, 0.202314,CG_landrace_maize,S69,Total amino acids,0.098532
AA_Res_With_IBM_For_GWAS,0.023129,-0.062301,-0.049814,-0.112887,6.887441,-2.303349, 4.382219,CG_landrace_maize,S55,Total amino acids,6.685568
AA_Res_With_IBM_For_GWAS,-0.025203,-0.024753,-0.00926,-0.031915,-0.020713, 0.535768, 0.423924,CG_landrace_maize,S39,Total amino acids,-0.111844
AA_Res_With_IBM_For_GWAS,-0.092655,-0.032886,0.004316,0.045966,-0.098925, 0.458057, 0.283873,CG_landrace_maize,S10,Total amino acids,-0.174184
AA_Res_With_IBM_For_GWAS,-0.006535,-0.050147,-0.005847,-0.130807,-0.063519, 0.207585,-0.049270,CG_landrace_maize,S83,Total amino acids,-0.256855
AA_Res_With_IBM_For_GWAS,0.010084,-0.00368,0.000862,-0.008574,-0.002068, 0.444918, 0.441542,CG_landrace_maize,S7,Total amino acids,-0.003376
AA_Res_With_IBM_For_GWAS,-0.015122,-0.015612,-0.017513,-0.107718,-0.154997, 0.578496, 0.267533,CG_landrace_maize,S42,Total amino acids,-0.310962
AA_Res_With_IBM_For_GWAS,0.011494,-0.03768,-0.01007,-0.048971,-0.99277, 1.075831,-0.002166,CG_landrace_maize,S50,Total amino acids,-1.077997
AA_Res_With_IBM_For_GWAS,0.003551,0.003178,-0.003434,-0.000426,0.029774, 0.421039, 0.453681,CG_landrace_maize,S46,Total amino acids,0.032643
AA_Res_With_IBM_For_GWAS,-0.069911,-0.006677,-0.007089,-0.102309,-0.03466, 0.172959,-0.047686,CG_landrace_maize,S40,Total amino acids,-0.220646
AA_Res_With_IBM_For_GWAS,0.000871,-0.028481,-0.003709,-0.04113,-0.054617, 0.504821, 0.377755,CG_landrace_maize,S6,Total amino acids,-0.127066
AA_Res_With_IBM_For_GWAS,-0.007703,-0.03613,-0.033524,-0.034447,-0.04628, 0.433191, 0.275107,CG_landrace_maize,S21,Total amino acids,-0.158084
AA_Res_With_IBM_For_GWAS,-0.048811,-0.024557,-0.024994,-0.01563,-0.012848, 0.532002, 0.405162,CG_landrace_maize,S51,Total amino acids,-0.12684
AA_Res_With_IBM_For_GWAS,-0.002019,-0.025895,-0.016321,-0.007597,-0.103082, 0.438926, 0.284011,CG_landrace_maize,S47,Total amino acids,-0.154914
AA_Res_With_IBM_For_GWAS,0.00014,-0.01853,0.000747,0.000441,-1.323065, 0.936440,-0.403828,CG_landrace_maize,S41,Total amino acids,-1.340267
AA_Res_With_IBM_For_GWAS,0.282178,-0.003172,-0.005138,-0.050639,-0.144123, 0.207186, 0.286293,CG_landrace_maize,S5,Total amino acids,0.079106
AA_Res_With_IBM_For_GWAS,0.000531,-0.002501,-0.009965,0.012537,-0.024043, 0.540882, 0.517440,CG_landrace_maize,S2,Total amino acids,-0.023441
AA_Res_With_IBM_For_GWAS,-0.084272,-0.045213,-0.076652,-0.024176,-0.026826, 0.709697, 0.452559,CG_landrace_maize,S29,Total amino acids,-0.257139
AA_Res_With_IBM_For_GWAS,-0.084604,-0.04262,-0.006886,-0.016364,-0.006614, 0.581285, 0.424197,CG_landrace_maize,S48,Total amino acids,-0.157088
AA_Res_With_IBM_For_GWAS,0.013596,-0.002052,0.002157,-0.002185,-0.441682, 0.616050, 0.185884,CG_landrace_maize,S53,Total amino acids,-0.430166
AA_Res_With_IBM_For_GWAS,-0.027147,-0.005085,-0.007843,-0.017902,-0.063472, 0.394636, 0.273186,CG_landrace_maize,S37,Total amino acids,-0.121449
AA_Res_With_IBM_For_GWAS,-0.139283,-0.02358,-0.008508,-0.009206,-0.002573, 0.206825, 0.023675,CG_landrace_maize,S100,Total amino acids,-0.18315
AA_Res_With_IBM_For_GWAS,0.024812,-0.008963,-0.030523,-0.022474,-0.001935, 0.403843, 0.364761,CG_landrace_maize,S84,Total amino acids,-0.039083
AA_Res_With_IBM_For_GWAS,0.003063,-0.002649,0.000129,-0.00155,-0.070726, 0.475936, 0.404203,CG_landrace_maize,S38,Total amino acids,-0.071733
