trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,pretty_name,h2
asiavg,0,0.071723,0.042874,0,0, 0.796936, 0.747999,Anthesis-silking interval,0.114597
dtaavg,0.034504,0,0,0,0, 0.844549, 0.790928,NA,0.034504
dtsavg,0,0.209833,0,0.003854,0, 0.949113, 0.820443,NA,0.213687
ehtavg,0,0.08522,0.053609,0.016208,0, 0.808563, 0.818707,Ear height,0.155037
ehtdivphtavg,0.073337,0,0,0,0, 0.920681, 0.770362,Ratio of ear height to total height,0.073337
Kwt_5loc_residuals,0,0,0,0,0.092975, 0.656530, 0.613039,100 Kernel weight,0.092975
nlb_residuals,0,0,0,0,0, 0.936052, 0.829122,Northern Leaf Blight,0
nphavg,0,0,0,0,0, 0.925495, 0.772818,Nodes per plant,0
nteavg,0.053402,0,0,0,0, 0.817471, 0.711483,Nodes to ear,0.053402
nttavg,0.072255,0,0,0,0.013202, 0.717220, 0.666998,Nodes above ear,0.085457
phtavg,0,0.221527,0.001911,0.000611,0, 0.737126, 0.824093,Plant height,0.224049
phtdivdtravg,0,0.156957,0.02931,0,0, 0.844962, 0.705926,Height per day (until flowering),0.186267
phtdivnphavg,0.123398,0,0.000677,0,0, 0.750422, 0.782343,Average internode length (whole plant),0.124075
ppgddta_pop,0,0,0.039339,0,0, 0.781601, 0.415610,Photoperiod growing-degree days to anthesis,0.039339
ppgddts_pop,0.172736,0,0,0,0, 0.608036, 0.597439,Photoperiod Growing-degree days to silk,0.172736
Residual_leaf_length_noIBM,0,0.044011,0.001337,0,0, 0.848345, 0.753947,Leaf length,0.045348
Residual_leaf_width_noIBM,0,0.118604,0.01508,0,0, 0.798518, 0.807439,Leaf width,0.133684
residuals_distancebased_for_d2a,0,0.096791,0,0,0, 0.864840, 0.743167,Days to anthesis,0.096791
residuals_distancebased_for_d2s,0,0.102827,0,0,0, 0.988816, 0.828093,Days to silk,0.102827
residuals_distancebased_for_slbv2,0,0.001113,0,0.00402,0, 0.892556, 0.680389,Southern leaf blight,0.005133
rpravg,0.192003,0,0,0,0, 0.280069, 0.082156,Stalk strength,0.192003
sf_residuals_nopop,0,0.056199,0,0,0, 0.921004, 0.794881,Cob diameter,0.056199
so_residuals_nopop,0,0.087804,0,0,0.113135, 0.630961, 0.518455,Ear row number,0.200939
tassel_branches,0,0,0,0,0, 0.937248, 0.802228,Tassel branch number,0
tassel_length,0,0.019375,0.005915,0,0.00408, 0.856027, 0.787933,Tassel length,0.02937
thtavg,0,0.181018,0,0,0, 0.384407, 0.180271,Height above ear,0.181018
thtdivnttavg,0,0.25546,0.070468,0,0, 0.716015, 0.628241,Average internode length (above ear),0.325928
