trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
asiavg,0.014264,0.019814,0.00312,0.00913,-0.009861, 0.685343, 0.721810,CG_teosinte_maize,S1,Anthesis-silking interval,0.036467
asiavg,0.033029,0.004081,0.023811,0.014611,-0.013975, 0.660028, 0.721586,CG_teosinte_maize,S38,Anthesis-silking interval,0.061557
asiavg,0.14615,0.04749,-0.007479,-0.107237,-0.028958, 0.669488, 0.719454,CG_teosinte_maize,S91,Anthesis-silking interval,0.049966
asiavg,0.016865,0.005344,0.006009,-0.012697,-0.007918, 0.714356, 0.721958,CG_teosinte_maize,S78,Anthesis-silking interval,0.007603
asiavg,0.01186,0.020203,0.009568,-0.004823,0.004385, 0.680629, 0.721822,CG_teosinte_maize,S64,Anthesis-silking interval,0.041193
asiavg,0.013886,0.024072,0.007341,-0.019782,0.002916, 0.691601, 0.720034,CG_teosinte_maize,S50,Anthesis-silking interval,0.028433
asiavg,0.004035,0.010137,0.019403,-0.003894,-0.00436, 0.697260, 0.722582,CG_teosinte_maize,S37,Anthesis-silking interval,0.025321
asiavg,0.020479,0.013364,0.005738,-0.024898,-0.005687, 0.715495, 0.724491,CG_teosinte_maize,S23,Anthesis-silking interval,0.008996
asiavg,0.011191,-0.00305,0.01355,-0.012905,-0.004057, 0.721238, 0.725967,CG_teosinte_maize,S10,Anthesis-silking interval,0.004729
asiavg,0.016777,-0.004697,-0.012139,0.001194,-0.006689, 0.730681, 0.725127,CG_teosinte_maize,S39,Anthesis-silking interval,-0.005554
asiavg,-0.015419,-0.006628,-0.000263,-0.020615,-0.006374, 0.774762, 0.725463,CG_teosinte_maize,S92,Anthesis-silking interval,-0.049299
asiavg,0.032666,0.002147,0.017406,0.015453,-0.003099, 0.654861, 0.719435,CG_teosinte_maize,S79,Anthesis-silking interval,0.064573
asiavg,-0.000224,0.024712,-0.004502,-0.01429,0.014881, 0.704031, 0.724608,CG_teosinte_maize,S65,Anthesis-silking interval,0.020577
asiavg,0.01142,0.000136,0.018648,-0.025623,0.001469, 0.718935, 0.724984,CG_teosinte_maize,S51,Anthesis-silking interval,0.00605
asiavg,0.006267,0.010328,0.002143,-0.015274,-0.002518, 0.720797, 0.721743,CG_teosinte_maize,S80,Anthesis-silking interval,0.000945999999999998
asiavg,0.015875,-0.003508,0.009851,-0.021687,0.002848, 0.722187, 0.725567,CG_teosinte_maize,S24,Anthesis-silking interval,0.003379
asiavg,0.007399,0.024022,-0.010654,-0.008245,-0.001736, 0.708914, 0.719699,CG_teosinte_maize,S100,Anthesis-silking interval,0.010786
asiavg,0.022085,0.020543,0.011645,-0.006322,0.000296, 0.673160, 0.721406,CG_teosinte_maize,S4,Anthesis-silking interval,0.048247
asiavg,0.028783,0.013628,0.002161,0.028299,-0.007537, 0.653766, 0.719099,CG_teosinte_maize,S93,Anthesis-silking interval,0.065334
asiavg,0.060527,-0.007357,-0.012324,-0.0236,0.003587, 0.699374, 0.720206,CG_teosinte_maize,S8,Anthesis-silking interval,0.020833
asiavg,0.000834,0.024833,0.019358,-0.004077,-0.007461, 0.686392, 0.719879,CG_teosinte_maize,S66,Anthesis-silking interval,0.033487
asiavg,0.029762,-0.006084,0.003542,0.00095,-0.011008, 0.703842, 0.721004,CG_teosinte_maize,S52,Anthesis-silking interval,0.017162
asiavg,0.036146,0.010154,0.006112,0.009611,0.02462,0.632361,0.719003,CG_teosinte_maize,S81,Anthesis-silking interval,0.086643
asiavg,0.001269,-0.01236,0.020612,-0.028177,-0.00729, 0.747087, 0.721141,CG_teosinte_maize,S25,Anthesis-silking interval,-0.025946
asiavg,0.034693,0.014053,0.001801,0.010941,0.007893,0.648601,0.717982,CG_teosinte_maize,S11,Anthesis-silking interval,0.069381
asiavg,-0.005232,0.012759,0.001198,0.025359,0.000558, 0.690068, 0.724710,CG_teosinte_maize,S40,Anthesis-silking interval,0.034642
asiavg,0.018051,-0.008476,-0.005192,-0.010146,0.001034, 0.728488, 0.723759,CG_teosinte_maize,S94,Anthesis-silking interval,-0.004729
asiavg,-0.005699,0.014099,0.028126,-0.004167,-0.004112, 0.693521, 0.721768,CG_teosinte_maize,S13,Anthesis-silking interval,0.028247
asiavg,0.011789,-0.019534,0.006218,-0.006159,0.004251, 0.729032, 0.725597,CG_teosinte_maize,S67,Anthesis-silking interval,-0.003435
asiavg,0.01559,0.009475,0.016455,-0.004244,-0.003924, 0.687789, 0.721141,CG_teosinte_maize,S53,Anthesis-silking interval,0.033352
asiavg,0.013697,-0.002695,0.01116,0.006903,-0.004334, 0.698291, 0.723022,CG_teosinte_maize,S82,Anthesis-silking interval,0.024731
asiavg,0.011988,0.015621,0.001654,0.02509,-0.003086, 0.673151, 0.724418,CG_teosinte_maize,S26,Anthesis-silking interval,0.051267
asiavg,-0.002227,0.004085,-0.003253,0.001072,-0.00494, 0.729799, 0.724538,CG_teosinte_maize,S12,Anthesis-silking interval,-0.005263
asiavg,0.024566,0.013939,0.030986,-0.016495,-0.008518, 0.677510, 0.721988,CG_teosinte_maize,S41,Anthesis-silking interval,0.044478
asiavg,0.034582,-0.004653,0.010052,0.00408,-0.006632, 0.683602, 0.721032,CG_teosinte_maize,S95,Anthesis-silking interval,0.037429
asiavg,0.02242,0.012456,0.003586,-0.010504,0.005655, 0.689130, 0.722744,CG_teosinte_maize,S14,Anthesis-silking interval,0.033613
asiavg,-0.015974,0.014276,0.00956,-0.010292,-0.001071, 0.732563, 0.729062,CG_teosinte_maize,S68,Anthesis-silking interval,-0.003501
asiavg,0.000628,0.012291,0.02592,-0.023,0.006042, 0.696550, 0.718431,CG_teosinte_maize,S54,Anthesis-silking interval,0.021881
asiavg,0.044614,0.027858,0.004968,0.020693,0.000541,0.616571,0.715246,CG_teosinte_maize,S83,Anthesis-silking interval,0.098674
asiavg,0.043395,0.034562,0.011968,-0.028085,0.007054, 0.644690, 0.713584,CG_teosinte_maize,S27,Anthesis-silking interval,0.068894
asiavg,-0.008455,-0.00099,0.014394,0.026035,-0.00826, 0.700171, 0.722895,CG_teosinte_maize,S56,Anthesis-silking interval,0.022724
asiavg,0.016916,0.013948,-0.008922,0.014146,-0.008122, 0.694441, 0.722407,CG_teosinte_maize,S42,Anthesis-silking interval,0.027966
asiavg,-0.005111,0.00235,-0.00928,0.017958,-0.001645, 0.720657, 0.724928,CG_teosinte_maize,S96,Anthesis-silking interval,0.004272
asiavg,0.027366,0.005768,-0.000724,-0.00851,-0.000957, 0.699841, 0.722784,CG_teosinte_maize,S15,Anthesis-silking interval,0.022943
asiavg,0.016409,-0.002641,0.023138,-0.00333,-0.00657, 0.695321, 0.722327,CG_teosinte_maize,S69,Anthesis-silking interval,0.027006
asiavg,0.028932,0.01439,-0.000641,0.000757,-0.003171, 0.682421, 0.722690,CG_teosinte_maize,S55,Anthesis-silking interval,0.040267
asiavg,0.012944,0.00572,-0.010511,0.024581,0.001495, 0.686809, 0.721038,CG_teosinte_maize,S84,Anthesis-silking interval,0.034229
asiavg,0.002611,0.017605,-0.00487,-0.027664,0.002446, 0.732844, 0.722972,CG_teosinte_maize,S28,Anthesis-silking interval,-0.009872
asiavg,0.020358,0.030866,-0.006801,-0.010238,-0.00019, 0.688811, 0.722806,CG_teosinte_maize,S57,Anthesis-silking interval,0.033995
asiavg,0.058195,-0.01612,0.012163,-0.01388,-0.002045, 0.679578, 0.717891,CG_teosinte_maize,S43,Anthesis-silking interval,0.038313
asiavg,0.019167,0.000135,-0.010408,-0.019911,-0.007416, 0.742279, 0.723846,CG_teosinte_maize,S97,Anthesis-silking interval,-0.018433
asiavg,0.048082,-0.008507,0.004935,-0.004532,-0.003705, 0.681983, 0.718255,CG_teosinte_maize,S16,Anthesis-silking interval,0.036273
asiavg,0.021849,0.010024,0.014132,-0.000771,-0.007922, 0.683579, 0.720891,CG_teosinte_maize,S7,Anthesis-silking interval,0.037312
asiavg,0.019419,0.004878,0.013081,-0.020246,0.004104, 0.701128, 0.722364,CG_teosinte_maize,S99,Anthesis-silking interval,0.021236
asiavg,0.026643,0.026453,0.00878,0.007313,-0.018747, 0.661593, 0.712035,CG_teosinte_maize,S85,Anthesis-silking interval,0.050442
asiavg,0.0448,0.006715,0.010527,-0.02156,-0.006572, 0.686725, 0.720634,CG_teosinte_maize,S29,Anthesis-silking interval,0.03391
asiavg,0.032458,0.024469,-0.01463,-0.001589,-0.007223, 0.688825, 0.722310,CG_teosinte_maize,S58,Anthesis-silking interval,0.033485
asiavg,0.032199,0.007717,-0.002825,-0.001807,0.000375, 0.685235, 0.720894,CG_teosinte_maize,S44,Anthesis-silking interval,0.035659
asiavg,0.007777,0.001223,0.013152,-0.020858,-0.007608, 0.727991, 0.721677,CG_teosinte_maize,S98,Anthesis-silking interval,-0.006314
asiavg,0.023447,0.015287,0.00387,-0.010359,-0.000367, 0.692162, 0.724040,CG_teosinte_maize,S17,Anthesis-silking interval,0.031878
asiavg,-0.017329,-0.04494,-0.008635,0.017585,-0.050995, 0.872559, 0.768245,CG_teosinte_maize,S70,Anthesis-silking interval,-0.104314
asiavg,0.029908,0.007266,0.030182,-0.014954,-0.002271, 0.672038, 0.722168,CG_teosinte_maize,S32,Anthesis-silking interval,0.050131
