trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,pretty_name,h2
asiavg,0,0,0.2359,0.000895,0, 0.611205, 0.742941,Anthesis-silking interval,0.236795
dtaavg,0.062258,0.122497,0,0,0, 0.816884, 0.836786,NA,0.184755
dtsavg,0,0,0.039642,0,0, 0.846005, 0.768537,NA,0.039642
ehtavg,0,0.112192,0,0.070988,0, 0.884440, 0.725762,Ear height,0.18318
ehtdivphtavg,0.080211,0.182811,0,0,0.030322, 0.660189, 0.800727,Ratio of ear height to total height,0.293344
Kwt_5loc_residuals,0,0.019341,0,0,0, 0.669078, 0.626964,100 Kernel weight,0.019341
nlb_residuals,0,0,0.335425,0,0.192299, 0.572928, 0.763467,Northern Leaf Blight,0.527724
nphavg,0.115546,0,0.008127,0,0.03435, 0.870280, 0.724353,Nodes per plant,0.158023
nteavg,0,0.053024,0,0,0, 0.766603, 0.728722,Nodes to ear,0.053024
nttavg,0,0,0,0,0, 0.851312, 0.754807,Nodes above ear,0
phtavg,0,0.014833,0,0,0, 0.923376, 0.813448,Plant height,0.014833
phtdivdtravg,0,0,0,0,0, 1.536799,-0.317855,Height per day (until flowering),0
phtdivnphavg,0.232026,0,0,0,0, 0.518111, 0.352793,Average internode length (whole plant),0.232026
ppgddta_pop,0,0.136092,0,0,0, 0.751213, 0.630033,Photoperiod growing-degree days to anthesis,0.136092
ppgddts_pop,0,0,0.019338,0.026426,0, 0.660065, 0.510537,Photoperiod Growing-degree days to silk,0.045764
Residual_leaf_length_noIBM,0.023953,0.036028,0,0,0, 0.845686, 0.803099,Leaf length,0.059981
Residual_leaf_width_noIBM,0.294342,0,0,0,0, 0.937616, 0.628428,Leaf width,0.294342
residuals_distancebased_for_d2a,0,0,0,0.007223,0, 0.851384, 0.787172,Days to anthesis,0.007223
residuals_distancebased_for_d2s,0,0,0.359087,0,0, 0.569422, 0.646182,Days to silk,0.359087
residuals_distancebased_for_slbv2,0,0.060607,0.124762,0,0, 0.817545, 0.770261,Southern leaf blight,0.185369
rpravg,0,0.302,0,0,0, 0.128761, 0.347224,Stalk strength,0.302
sf_residuals_nopop,0,0.011199,0,0,0.016571, 1.043764, 0.880461,Cob diameter,0.02777
so_residuals_nopop,0,0.17539,0,0,0, 0.850727, 0.831581,Ear row number,0.17539
tassel_branches,0.028507,0,0,0,0, 0.895278, 0.794121,Tassel branch number,0.028507
tassel_length,0,0,0.014904,0,0.301299, 0.421487, 0.191929,Tassel length,0.316203
thtavg,0.094098,0,0,0,0, 0.734628, 0.682772,Height above ear,0.094098
thtdivnttavg,0,0,0.328736,0,0, 0.762097, 0.580295,Average internode length (above ear),0.328736
