trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Fuma_Res_With_IBM_For_GWAS,-0.031047,-0.003911,-0.005085,-0.012804,-0.124102, 0.090096,-0.086852,CHG_landrace_maize,S1,Fumarate,-0.176949
Fuma_Res_With_IBM_For_GWAS,0.00168,-0.002082,0.006137,-0.000307,0.001709, 0.007496, 0.014633,CHG_landrace_maize,S38,Fumarate,0.007137
Fuma_Res_With_IBM_For_GWAS,-0.005781,-0.018596,0.074079,-0.010911,-0.015211, 0.063379, 0.086959,CHG_landrace_maize,S91,Fumarate,0.02358
Fuma_Res_With_IBM_For_GWAS,-0.049073,-0.025905,-0.006757,0.010329,-0.001862, 0.040585,-0.032683,CHG_landrace_maize,S78,Fumarate,-0.073268
Fuma_Res_With_IBM_For_GWAS,0.002101,-0.020247,-0.002629,0.006747,-0.002804,-0.020174,-0.037006,CHG_landrace_maize,S64,Fumarate,-0.016832
Fuma_Res_With_IBM_For_GWAS,-1e-05,0.002403,-0.000665,0.003312,-0.000337, 0.005792, 0.010495,CHG_landrace_maize,S50,Fumarate,0.004703
Fuma_Res_With_IBM_For_GWAS,0.007526,0.001428,-0.000618,0.002555,1.735035,-0.020460, 1.725466,CHG_landrace_maize,S37,Fumarate,1.745926
Fuma_Res_With_IBM_For_GWAS,-0.00155,0.003315,-7.5e-05,-0.005588,-0.000536,-0.008272,-0.012706,CHG_landrace_maize,S23,Fumarate,-0.004434
Fuma_Res_With_IBM_For_GWAS,-0.003836,-0.036511,-0.027641,-0.026133,-0.000772,-0.002235,-0.097129,CHG_landrace_maize,S10,Fumarate,-0.094893
Fuma_Res_With_IBM_For_GWAS,-0.0226,-0.00814,-0.026953,-0.028136,0.036926, 0.014916,-0.033987,CHG_landrace_maize,S39,Fumarate,-0.048903
Fuma_Res_With_IBM_For_GWAS,-0.010809,0.037336,-0.080707,0.127476,-0.076609,-0.026134,-0.029448,CHG_landrace_maize,S92,Fumarate,-0.003313
Fuma_Res_With_IBM_For_GWAS,0.008658,-0.001291,-0.00589,0.19861,-0.03021,-0.112139, 0.057738,CHG_landrace_maize,S79,Fumarate,0.169877
Fuma_Res_With_IBM_For_GWAS,-0.000843,0.000838,-0.000779,0.001197,-0.000812, 0.007801, 0.007402,CHG_landrace_maize,S65,Fumarate,-0.000399
Fuma_Res_With_IBM_For_GWAS,-0.008353,0.000647,-0.011472,-0.061247,-0.395624, 0.075592,-0.400458,CHG_landrace_maize,S51,Fumarate,-0.476049
Fuma_Res_With_IBM_For_GWAS,-0.046529,-0.005021,-0.062178,0.114319,0.061893,-0.086476,-0.023993,CHG_landrace_maize,S80,Fumarate,0.062484
Fuma_Res_With_IBM_For_GWAS,-0.014573,-0.005517,-0.029047,-0.024758,0.001002, 0.033497,-0.039396,CHG_landrace_maize,S24,Fumarate,-0.072893
Fuma_Res_With_IBM_For_GWAS,0.025993,-0.009988,0.015809,0.004272,-0.001167,-0.062001,-0.027082,CHG_landrace_maize,S100,Fumarate,0.034919
Fuma_Res_With_IBM_For_GWAS,0.029059,-0.18432,-0.011361,-0.001019,0.015207,-0.109372,-0.261806,CHG_landrace_maize,S4,Fumarate,-0.152434
Fuma_Res_With_IBM_For_GWAS,-0.03925,-0.057868,0.010797,-0.03955,-0.005475, 0.146109, 0.014763,CHG_landrace_maize,S93,Fumarate,-0.131346
Fuma_Res_With_IBM_For_GWAS,0.012317,-0.01405,-0.001902,-0.015336,-0.001258, 0.010320,-0.009908,CHG_landrace_maize,S8,Fumarate,-0.020229
Fuma_Res_With_IBM_For_GWAS,-0.029325,-0.073256,-0.031906,-0.251631,-3.256736, 0.922256,-2.720598,CHG_landrace_maize,S66,Fumarate,-3.642854
Fuma_Res_With_IBM_For_GWAS,0.039898,-0.020775,-0.014743,-0.018227,0.010473,-0.011584,-0.014958,CHG_landrace_maize,S52,Fumarate,-0.003374
Fuma_Res_With_IBM_For_GWAS,0.003,-0.003612,-0.003281,-0.004925,-0.365414, 0.033954,-0.340279,CHG_landrace_maize,S81,Fumarate,-0.374232
Fuma_Res_With_IBM_For_GWAS,-0.007781,-0.027719,0.030417,0.01698,-0.001624,-0.057546,-0.047274,CHG_landrace_maize,S25,Fumarate,0.010273
Fuma_Res_With_IBM_For_GWAS,-0.017968,-0.015033,-0.002061,-0.020781,0.002688, 0.016316,-0.036838,CHG_landrace_maize,S11,Fumarate,-0.053155
Fuma_Res_With_IBM_For_GWAS,-0.065767,-0.011267,0.00474,-0.010142,0.017654,-0.005126,-0.069908,CHG_landrace_maize,S40,Fumarate,-0.064782
Fuma_Res_With_IBM_For_GWAS,-0.041762,-0.011344,0.000852,-0.010953,-0.145778,-0.017717,-0.226702,CHG_landrace_maize,S94,Fumarate,-0.208985
Fuma_Res_With_IBM_For_GWAS,0.00234,0.015451,-0.025353,0.007318,-0.004934,-0.133875,-0.139053,CHG_landrace_maize,S13,Fumarate,-0.005178
Fuma_Res_With_IBM_For_GWAS,0.003715,0.02684,-0.007303,-0.001759,-0.043151,-0.021201,-0.042858,CHG_landrace_maize,S67,Fumarate,-0.021658
Fuma_Res_With_IBM_For_GWAS,-0.014577,-0.086563,-0.000592,-0.003232,-0.05595, 0.043048,-0.117865,CHG_landrace_maize,S53,Fumarate,-0.160914
Fuma_Res_With_IBM_For_GWAS,-0.008978,-0.074653,-0.249321,0.053649,0.015117, 0.032828,-0.231358,CHG_landrace_maize,S82,Fumarate,-0.264186
Fuma_Res_With_IBM_For_GWAS,-0.004587,-0.002537,-0.011981,-0.007192,-0.003955, 0.020373,-0.009878,CHG_landrace_maize,S26,Fumarate,-0.030252
Fuma_Res_With_IBM_For_GWAS,-0.041178,-0.023095,-0.188005,-0.376033,0.009272, 0.303406,-0.315632,CHG_landrace_maize,S12,Fumarate,-0.619039
Fuma_Res_With_IBM_For_GWAS,-0.002599,-0.002079,0.003599,0.008035,0.021571,-0.018715, 0.009813,CHG_landrace_maize,S41,Fumarate,0.028527
Fuma_Res_With_IBM_For_GWAS,-0.004035,0.001587,-0.002096,-0.008022,0.000453, 0.032617, 0.020505,CHG_landrace_maize,S95,Fumarate,-0.012113
Fuma_Res_With_IBM_For_GWAS,-0.013639,-0.009353,0.022557,-0.010153,-0.0248,-0.030918,-0.066307,CHG_landrace_maize,S14,Fumarate,-0.035388
Fuma_Res_With_IBM_For_GWAS,-0.015219,0.046012,-0.005698,-0.016105,-0.162764, 0.081881,-0.071893,CHG_landrace_maize,S68,Fumarate,-0.153774
Fuma_Res_With_IBM_For_GWAS,0.00134,-0.00061,-0.003667,-0.003957,0.003236,-0.016039,-0.019698,CHG_landrace_maize,S54,Fumarate,-0.003658
Fuma_Res_With_IBM_For_GWAS,0.020144,-0.033424,0.007873,-0.005272,-0.062772,-0.036972,-0.110424,CHG_landrace_maize,S83,Fumarate,-0.073451
Fuma_Res_With_IBM_For_GWAS,0.024264,-0.020361,0.007252,0.019043,-1.511902,-0.009433,-1.491138,CHG_landrace_maize,S27,Fumarate,-1.481704
Fuma_Res_With_IBM_For_GWAS,-0.081221,-0.000729,0.001381,-0.167822,0.065579, 0.155058,-0.027753,CHG_landrace_maize,S56,Fumarate,-0.182812
Fuma_Res_With_IBM_For_GWAS,-0.009213,0.00533,0.033716,-0.000173,-0.002301,-0.119569,-0.092209,CHG_landrace_maize,S42,Fumarate,0.027359
Fuma_Res_With_IBM_For_GWAS,-0.006388,0.003691,-0.017987,0.049786,-0.043224,-0.037699,-0.051820,CHG_landrace_maize,S96,Fumarate,-0.014122
Fuma_Res_With_IBM_For_GWAS,-0.005651,-0.023768,0.007761,-0.013019,-0.008116, 0.016942,-0.025852,CHG_landrace_maize,S15,Fumarate,-0.042793
Fuma_Res_With_IBM_For_GWAS,-0.002288,-0.001507,0.00272,-0.001743,0.000732, 0.009255, 0.007169,CHG_landrace_maize,S69,Fumarate,-0.002086
Fuma_Res_With_IBM_For_GWAS,-0.032759,0.006543,0.003538,0.018773,0.014344,-0.072958,-0.062519,CHG_landrace_maize,S55,Fumarate,0.010439
Fuma_Res_With_IBM_For_GWAS,-0.00534,-0.002914,-0.041186,0.018338,0.018423,-0.032642,-0.045321,CHG_landrace_maize,S84,Fumarate,-0.012679
Fuma_Res_With_IBM_For_GWAS,0.001118,-0.058546,-0.004404,0.052407,0.009355,-0.188163,-0.188233,CHG_landrace_maize,S28,Fumarate,-6.99999999999954e-05
Fuma_Res_With_IBM_For_GWAS,-0.00683,-0.007659,-0.001613,0.004145,-0.062946, 0.049370,-0.025533,CHG_landrace_maize,S57,Fumarate,-0.074903
Fuma_Res_With_IBM_For_GWAS,-0.051317,0.005763,-0.014554,-0.004513,-0.023417, 0.184769, 0.096731,CHG_landrace_maize,S43,Fumarate,-0.088038
Fuma_Res_With_IBM_For_GWAS,-0.03325,-0.003898,-0.089531,-0.011915,0.006495,-0.013368,-0.145466,CHG_landrace_maize,S97,Fumarate,-0.132099
Fuma_Res_With_IBM_For_GWAS,-0.091166,-0.044681,-0.005606,0.000168,-0.254596, 0.183115,-0.212766,CHG_landrace_maize,S16,Fumarate,-0.395881
Fuma_Res_With_IBM_For_GWAS,-0.043379,-0.016983,-0.028441,-0.015416,0.014546, 0.058691,-0.030982,CHG_landrace_maize,S7,Fumarate,-0.089673
Fuma_Res_With_IBM_For_GWAS,0.046135,0.048313,0.052291,0.048499,-0.588948, 0.151669,-0.242041,CHG_landrace_maize,S99,Fumarate,-0.39371
Fuma_Res_With_IBM_For_GWAS,-0.03205,-0.024417,0.012542,-0.034339,-0.094359,-0.031338,-0.203962,CHG_landrace_maize,S85,Fumarate,-0.172623
Fuma_Res_With_IBM_For_GWAS,5.9e-05,-0.017937,-0.003237,-0.017981,-0.041387, 0.092698, 0.012215,CHG_landrace_maize,S29,Fumarate,-0.080483
Fuma_Res_With_IBM_For_GWAS,0.139252,-0.039126,0.041999,0.037788,-0.019948,-0.114479, 0.045487,CHG_landrace_maize,S58,Fumarate,0.159965
Fuma_Res_With_IBM_For_GWAS,0.067813,-0.020238,-0.090841,-0.040984,-0.001195,-0.065112,-0.150558,CHG_landrace_maize,S44,Fumarate,-0.085445
Fuma_Res_With_IBM_For_GWAS,-0.015856,-0.04241,-0.028098,-0.018626,-0.007507, 0.026814,-0.085683,CHG_landrace_maize,S98,Fumarate,-0.112497
Fuma_Res_With_IBM_For_GWAS,-0.017855,0.064223,-0.007381,0.124352,0.015393,-0.145279, 0.033453,CHG_landrace_maize,S17,Fumarate,0.178732
