trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,pretty_name,h2
asiavg,0.004735,0.002854,0,0,0, 0.730464, 0.725264,Anthesis-silking interval,0.007589
dtaavg,0,0.004927,0,0,0.043557, 0.828597, 0.791066,NA,0.048484
dtsavg,0.043704,0.072639,0,0,0, 0.780897, 0.705675,NA,0.116343
ehtavg,0.006277,0.003285,0,0.010022,0.002609, 0.782615, 0.799346,Ear height,0.022193
ehtdivphtavg,0.01025,0,0,0,0.033228, 0.792761, 0.731012,Ratio of ear height to total height,0.043478
Kwt_5loc_residuals,0.02192,0,0,0,0.029805, 0.608214, 0.616399,100 Kernel weight,0.051725
nlb_residuals,0,0.001744,0.012325,0,0, 0.835741, 0.828351,Northern Leaf Blight,0.014069
nphavg,0,0.02545,0,0,0.002345, 0.855367, 0.790979,Nodes per plant,0.027795
nteavg,0.028238,0,0.007972,0,0, 0.763424, 0.712550,Nodes to ear,0.03621
nttavg,0,0,0.035189,0,0, 0.965175, 0.785264,Nodes above ear,0.035189
phtavg,0.005376,0.004436,0,0.005143,0.001853, 0.799001, 0.808318,Plant height,0.016808
phtdivdtravg,0.006059,0.006728,0,0.005817,0.003222, 0.757972, 0.771998,Height per day (until flowering),0.021826
phtdivnphavg,0,0.006803,0,0,0.032405, 0.770432, 0.758656,Average internode length (whole plant),0.039208
ppgddta_pop,0,0,0.003023,0,0, 0.861909, 0.703690,Photoperiod growing-degree days to anthesis,0.003023
ppgddts_pop,0,0,0,0,0.080397, 0.452213, 0.317755,Photoperiod Growing-degree days to silk,0.080397
Residual_leaf_length_noIBM,0,0.005977,0.003568,0,0, 0.793437, 0.792203,Leaf length,0.009545
Residual_leaf_width_noIBM,0.00546,0.001019,0,0,0.010805, 0.793995, 0.800167,Leaf width,0.017284
residuals_distancebased_for_d2a,0,0.031869,0,0,0.02075, 0.825757, 0.798908,Days to anthesis,0.052619
residuals_distancebased_for_d2s,0,0,0.000529,0,0, 0.832558, 0.796659,Days to silk,0.000529
residuals_distancebased_for_slbv2,0.034242,0,0,0,0.116342, 0.805048, 0.818113,Southern leaf blight,0.150584
rpravg,0,0.012708,0,0,0, 0.280045, 0.181197,Stalk strength,0.012708
sf_residuals_nopop,0,0.001679,0.007912,0,0.001935, 0.795414, 0.800143,Cob diameter,0.011526
so_residuals_nopop,0,0,0,0,0, 0.932096, 0.543551,Ear row number,0
tassel_branches,0.011621,0,0,0,0, 0.830476, 0.831276,Tassel branch number,0.011621
tassel_length,0,0,0.002771,0,0, 0.797262, 0.786166,Tassel length,0.002771
thtavg,0,0,0,0.01367,0, 0.788627, 0.725987,Height above ear,0.01367
thtdivnttavg,0.012488,0,0.00949,0,0.001731, 0.687929, 0.691773,Average internode length (above ear),0.023709
