trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Chlb_Res_With_IBM_For_GWAS,0.005386,-0.002209,-0.001838,0.003703,0.006306,-0.001510, 0.009839,CHG_teosinte_landrace,S25,Chlorophyll B,0.011348
Chlb_Res_With_IBM_For_GWAS,-0.004595,-0.000341,0.006418,0.000257,0.001426, 0.003685, 0.006850,CHG_teosinte_landrace,S35,Chlorophyll B,0.003165
Chlb_Res_With_IBM_For_GWAS,-0.013263,0.000258,-0.013496,-0.002724,0.013355, 0.006041,-0.009829,CHG_teosinte_landrace,S36,Chlorophyll B,-0.01587
Chlb_Res_With_IBM_For_GWAS,0.069995,-0.093716,0.119368,0.035033,-0.023562,-0.168773,-0.061654,CHG_teosinte_landrace,S27,Chlorophyll B,0.107118
Chlb_Res_With_IBM_For_GWAS,0.030388,-0.040849,-0.016102,-0.07461,0.156557, 0.010069, 0.065453,CHG_teosinte_landrace,S30,Chlorophyll B,0.055384
Chlb_Res_With_IBM_For_GWAS,-0.009097,0.01336,-0.008003,-0.043458,-0.062727, 0.075782,-0.034143,CHG_teosinte_landrace,S26,Chlorophyll B,-0.109925
Chlb_Res_With_IBM_For_GWAS,-0.001856,0.011805,-0.003394,0.013447,-0.002739,-0.000470, 0.016794,CHG_teosinte_landrace,S28,Chlorophyll B,0.017263
Chlb_Res_With_IBM_For_GWAS,-0.003131,-0.000267,-0.000121,-0.004861,0.004032, 0.016916, 0.012568,CHG_teosinte_landrace,S31,Chlorophyll B,-0.004348
Chlb_Res_With_IBM_For_GWAS,0.009359,0.005031,0.002578,-0.003721,0.001494, 0.001148, 0.015890,CHG_teosinte_landrace,S33,Chlorophyll B,0.014741
Chlb_Res_With_IBM_For_GWAS,-0.020895,-0.033876,-0.005154,-0.031373,-0.007595, 0.170880, 0.071987,CHG_teosinte_landrace,S37,Chlorophyll B,-0.098893
Chlb_Res_With_IBM_For_GWAS,0.0136,0.006256,0.012957,-0.000576,-0.000856,-0.006511, 0.024869,CHG_teosinte_landrace,S39,Chlorophyll B,0.031381
Chlb_Res_With_IBM_For_GWAS,0.000265,0.003874,0.002972,0.004055,0.003948,-0.002493, 0.012620,CHG_teosinte_landrace,S21,Chlorophyll B,0.015114
Chlb_Res_With_IBM_For_GWAS,0.00082,0.082343,-0.002293,0.017869,0.040185,-0.094244, 0.044681,CHG_teosinte_landrace,S23,Chlorophyll B,0.138924
