pretty_name,od,k,var
Tassel length,1,DMR,0
Tassel branch number,2,DMR,0.002174
Southern leaf blight,3,DMR,0.00588
Anthesis-silking interval,4,DMR,0.007611
Stalk strength,5,DMR,0.008277
Average internode length (whole plant),6,DMR,0.01319
Height per day (until flowering),7,DMR,0.013194
Days to anthesis,8,DMR,0.014143
Ratio of ear height to total height,9,DMR,0.015134
Nodes to ear,10,DMR,0.015198
Photoperiod growing-degree days to anthesis,11,DMR,0.016332
Height above ear,12,DMR,0.016813
Ear row number,13,DMR,0.017425
Photoperiod Growing-degree days to silk,14,DMR,0.018938
Leaf length,15,DMR,0.021379
Average internode length (above ear),16,DMR,0.02793
Days to silk,17,DMR,0.031218
Cob diameter,18,DMR,0.031781
100 Kernel weight,19,DMR,0.035212
Nodes per plant,20,DMR,0.038704
Ear height,21,DMR,0.039024
Northern Leaf Blight,22,DMR,0.044098
Leaf width,23,DMR,0.04538
Nodes above ear,24,DMR,0.061631
Plant height,25,DMR,0.167796
Tassel length,1,non-DMR,-0.917428
Tassel branch number,2,non-DMR,-0.844966
Southern leaf blight,3,non-DMR,-0.982689
Anthesis-silking interval,4,non-DMR,-0.734272
Stalk strength,5,non-DMR,-0.24675
Average internode length (whole plant),6,non-DMR,-0.771862
Height per day (until flowering),7,non-DMR,-0.768862
Days to anthesis,8,non-DMR,-0.791004
Ratio of ear height to total height,9,non-DMR,-0.737306
Nodes to ear,10,non-DMR,-0.745484
Photoperiod growing-degree days to anthesis,11,non-DMR,-0.625707
Height above ear,12,non-DMR,-0.740106
Ear row number,13,non-DMR,-0.811069
Photoperiod Growing-degree days to silk,14,non-DMR,-0.628392
Leaf length,15,non-DMR,-0.796314
Average internode length (above ear),16,non-DMR,-0.672906
Days to silk,17,non-DMR,-0.939881
Cob diameter,18,non-DMR,-0.774625
100 Kernel weight,19,non-DMR,-0.675497
Nodes per plant,20,non-DMR,-0.746339
Ear height,21,non-DMR,-0.880486
Northern Leaf Blight,22,non-DMR,-0.97247
Leaf width,23,non-DMR,-0.755017
Nodes above ear,24,non-DMR,-0.802851
Plant height,25,non-DMR,-0.723059
