trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,context,rep,pretty_name,h2
Chla_Res_With_IBM_For_GWAS,0.063476,0.067897,0.037254,-0.004286,-0.02887, 0.176036, 0.311507,CHG_teosinte_maize,S55,Chlorophyll A,0.135471
Chla_Res_With_IBM_For_GWAS,0.065799,0.024642,0.022102,0.033053,-0.012431, 0.197992, 0.331157,CHG_teosinte_maize,S54,Chlorophyll A,0.133165
Chla_Res_With_IBM_For_GWAS,0.051033,0.013479,0.032587,0.041626,-0.000767, 0.181931, 0.319888,CHG_teosinte_maize,S43,Chlorophyll A,0.137958
Chla_Res_With_IBM_For_GWAS,0.038286,0.011352,0.018407,-0.008718,0.006512, 0.259068, 0.324907,CHG_teosinte_maize,S53,Chlorophyll A,0.065839
Chla_Res_With_IBM_For_GWAS,0.003994,-0.021781,0.004697,-0.016539,-0.009405, 0.363314, 0.324280,CHG_teosinte_maize,S42,Chlorophyll A,-0.039034
Chla_Res_With_IBM_For_GWAS,0.067125,0.02154,0.012416,-0.013586,0.001326, 0.230451, 0.319272,CHG_teosinte_maize,S56,Chlorophyll A,0.088821
Chla_Res_With_IBM_For_GWAS,0.033722,-0.003552,0.02121,0.010569,-0.016409, 0.282255, 0.327794,CHG_teosinte_maize,S52,Chlorophyll A,0.04554
Chla_Res_With_IBM_For_GWAS,0.019747,0.013334,0.02076,0.012156,-0.007793, 0.269599, 0.327803,CHG_teosinte_maize,S41,Chlorophyll A,0.058204
Chla_Res_With_IBM_For_GWAS,-0.005774,-0.048522,0.109057,-0.172924,-0.086981, 0.630708, 0.425563,CHG_teosinte_maize,S39,Chlorophyll A,-0.205144
Chla_Res_With_IBM_For_GWAS,0.039369,0.03216,0.020972,-0.018611,-0.011283, 0.262682, 0.325288,CHG_teosinte_maize,S44,Chlorophyll A,0.062607
Chla_Res_With_IBM_For_GWAS,0.02976,-0.005291,0.003626,-0.008234,0.027129, 0.284450, 0.331441,CHG_teosinte_maize,S51,Chlorophyll A,0.04699
Chla_Res_With_IBM_For_GWAS,0.037166,0.007983,0.027547,0.044966,-0.015442, 0.227368, 0.329588,CHG_teosinte_maize,S49,Chlorophyll A,0.10222
Chla_Res_With_IBM_For_GWAS,0.00677,0.037099,0.025647,0.064747,-0.014243, 0.194452, 0.314471,CHG_teosinte_maize,S46,Chlorophyll A,0.12002
Chla_Res_With_IBM_For_GWAS,0.000608,0.018789,0.032991,-0.006233,-0.006192, 0.285327, 0.325289,CHG_teosinte_maize,S40,Chlorophyll A,0.039963
Chla_Res_With_IBM_For_GWAS,-0.005089,0.02442,-0.000233,-0.041085,-0.021777, 0.361931, 0.318166,CHG_teosinte_maize,S57,Chlorophyll A,-0.043764
Chla_Res_With_IBM_For_GWAS,0.054562,-0.002518,0.016308,-0.023007,-0.024612, 0.310968, 0.331700,CHG_teosinte_maize,S50,Chlorophyll A,0.020733
Chla_Res_With_IBM_For_GWAS,-0.082675,0.006929,0.010982,-0.199775,-0.083228, 0.608709, 0.260942,CHG_teosinte_maize,S48,Chlorophyll A,-0.347767
Chla_Res_With_IBM_For_GWAS,0.040666,0.01523,0.012912,0.035726,-0.011203, 0.245557, 0.338887,CHG_teosinte_maize,S4,Chlorophyll A,0.093331
Chla_Res_With_IBM_For_GWAS,0.020461,0.005043,0.018809,-0.009205,-0.002236, 0.297230, 0.330103,CHG_teosinte_maize,S45,Chlorophyll A,0.032872
Chla_Res_With_IBM_For_GWAS,0.011986,0.027442,0.009914,-0.008051,0.000785, 0.286776, 0.328853,CHG_teosinte_maize,S5,Chlorophyll A,0.042076
Chla_Res_With_IBM_For_GWAS,0.034267,0.040196,0.02364,0.020341,0.00248,0.213590,0.334514,CHG_teosinte_maize,S47,Chlorophyll A,0.120924
Chla_Res_With_IBM_For_GWAS,0.00973,0.000256,0.028299,0.005171,-0.006893, 0.287235, 0.323799,CHG_teosinte_maize,S1,Chlorophyll A,0.036563
Chla_Res_With_IBM_For_GWAS,-0.009462,0.076172,0.012688,0.010158,-0.012712, 0.252648, 0.329491,CHG_teosinte_maize,S33,Chlorophyll A,0.076844
Chla_Res_With_IBM_For_GWAS,0.084547,-0.001183,0.024426,-0.015813,-0.00989, 0.235468, 0.317556,CHG_teosinte_maize,S58,Chlorophyll A,0.082087
Chla_Res_With_IBM_For_GWAS,0.004385,0.026686,0.059958,-0.000864,-0.002057, 0.226631, 0.314739,CHG_teosinte_maize,S82,Chlorophyll A,0.088108
Chla_Res_With_IBM_For_GWAS,0.044233,0.005092,0.016702,-0.027412,0.018948, 0.259208, 0.316771,CHG_teosinte_maize,S99,Chlorophyll A,0.057563
Chla_Res_With_IBM_For_GWAS,0.047293,-0.00676,0.013168,-0.03538,-0.007187, 0.317305, 0.328439,CHG_teosinte_maize,S21,Chlorophyll A,0.011134
Chla_Res_With_IBM_For_GWAS,0.017158,-0.003953,0.027429,-0.008397,-0.020754, 0.322458, 0.333941,CHG_teosinte_maize,S38,Chlorophyll A,0.011483
Chla_Res_With_IBM_For_GWAS,0.065314,0.010848,0.012677,-0.037989,-0.01229, 0.285127, 0.323688,CHG_teosinte_maize,S70,Chlorophyll A,0.03856
Chla_Res_With_IBM_For_GWAS,-0.029187,0.007726,0.021201,-0.027111,-0.024669, 0.386730, 0.334690,CHG_teosinte_maize,S95,Chlorophyll A,-0.05204
Chla_Res_With_IBM_For_GWAS,0.050124,0.020296,-0.000341,-0.046695,-0.01431, 0.329463, 0.338536,CHG_teosinte_maize,S10,Chlorophyll A,0.00907400000000002
Chla_Res_With_IBM_For_GWAS,0.036752,0.01808,8e-04,-0.010879,-0.005627, 0.283518, 0.322644,CHG_teosinte_maize,S34,Chlorophyll A,0.039126
Chla_Res_With_IBM_For_GWAS,0.041698,0.019616,0.013486,-0.054474,0.000118, 0.305563, 0.326006,CHG_teosinte_maize,S59,Chlorophyll A,0.020444
Chla_Res_With_IBM_For_GWAS,0.061639,0.045787,-0.00934,-0.030147,0.005644, 0.250815, 0.324399,CHG_teosinte_maize,S83,Chlorophyll A,0.073583
Chla_Res_With_IBM_For_GWAS,0.051596,0.040751,0.027285,0.04605,-0.003457, 0.160125, 0.322350,CHG_teosinte_maize,S91,Chlorophyll A,0.162225
Chla_Res_With_IBM_For_GWAS,0.049887,-0.003701,0.024776,-0.007331,-0.006034, 0.266539, 0.324136,CHG_teosinte_maize,S22,Chlorophyll A,0.057597
Chla_Res_With_IBM_For_GWAS,-0.085518,-0.038362,0.039115,-0.072562,-0.100143, 0.485247, 0.227776,CHG_teosinte_maize,S30,Chlorophyll A,-0.25747
Chla_Res_With_IBM_For_GWAS,0.017652,0.011909,0.004539,-0.063223,-0.006793, 0.366456, 0.330540,CHG_teosinte_maize,S71,Chlorophyll A,-0.035916
Chla_Res_With_IBM_For_GWAS,0.011806,0.001492,0.031123,0.000291,-0.003555, 0.288757, 0.329914,CHG_teosinte_maize,S96,Chlorophyll A,0.041157
Chla_Res_With_IBM_For_GWAS,0.050575,-0.024253,0.000677,0.015482,-0.005312, 0.282123, 0.319292,CHG_teosinte_maize,S100,Chlorophyll A,0.037169
Chla_Res_With_IBM_For_GWAS,-0.106501,0.106791,-0.021591,-0.055982,0.008837, 0.318513, 0.250067,CHG_teosinte_maize,S35,Chlorophyll A,-0.068446
Chla_Res_With_IBM_For_GWAS,0.038003,0.030365,0.026043,0.013531,-0.001669, 0.220620, 0.326893,CHG_teosinte_maize,S6,Chlorophyll A,0.106273
Chla_Res_With_IBM_For_GWAS,-0.024174,0.023108,0.003093,0.002549,-0.009682, 0.343985, 0.338878,CHG_teosinte_maize,S84,Chlorophyll A,-0.005106
Chla_Res_With_IBM_For_GWAS,0.001922,0.006669,-0.017663,-0.019484,-0.011252, 0.368376, 0.328569,CHG_teosinte_maize,S92,Chlorophyll A,-0.039808
Chla_Res_With_IBM_For_GWAS,-0.001785,-0.000244,0.008035,-0.030577,-0.012711, 0.361890, 0.324610,CHG_teosinte_maize,S23,Chlorophyll A,-0.037282
Chla_Res_With_IBM_For_GWAS,0.009182,0.047427,0.000864,0.015165,0.015342,0.235937,0.323917,CHG_teosinte_maize,S31,Chlorophyll A,0.08798
