Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_K7,Her_ALL,trait
 0.022843, 0.003889, 0.009071, 0.014573,-0.005114, 0.389615,-0.000565, 0.434313,largedata/VCAP/h2_teo-maize/NAM_AA_Res_With_IBM_For_GWAS_famCorrected.reml
-0.008099,-0.001269, 0.002560,-0.024244,-0.008722, 0.779154,-0.014075, 0.725304,largedata/VCAP/h2_teo-maize/NAM_asiavg_famCorrected.reml
 0.042428,-0.010327, 0.004069, 0.044040, 0.002894, 0.281069,-0.028670, 0.335502,largedata/VCAP/h2_teo-maize/NAM_Chla_Res_With_IBM_For_GWAS_famCorrected.reml
 0.015303,-0.006676,-0.003320, 0.018154,-0.006705,-0.001358,-0.005198, 0.010200,largedata/VCAP/h2_teo-maize/NAM_Chlb_Res_With_IBM_For_GWAS_famCorrected.reml
 0.008463,-0.009426, 0.009490, 0.000027, 0.013998, 0.792702,-0.026751, 0.788501,largedata/VCAP/h2_teo-maize/NAM_dtaavg_famCorrected.reml
-0.016641,-0.002295, 0.010166,-0.010820, 0.017505, 0.837769,-0.021220, 0.814465,largedata/VCAP/h2_teo-maize/NAM_dtsavg_famCorrected.reml
-0.001927, 0.011533, 0.010275,-0.023133,-0.005063, 0.820820,-0.016589, 0.795917,largedata/VCAP/h2_teo-maize/NAM_ehtavg_famCorrected.reml
 0.042621, 0.009190,-0.003618,-0.002647,-0.026213, 0.758145,-0.033084, 0.744394,largedata/VCAP/h2_teo-maize/NAM_ehtdivphtavg_famCorrected.reml
 0.023259,-0.004088, 0.016088, 0.000391, 0.016357, 0.136474,-0.012505, 0.175976,largedata/VCAP/h2_teo-maize/NAM_Fruc_Res_With_IBM_For_GWAS_famCorrected.reml
-0.037392, 0.008307,-0.002054, 0.035343, 0.027415,-0.037550,-0.032775,-0.038706,largedata/VCAP/h2_teo-maize/NAM_Fuma_Res_With_IBM_For_GWAS_famCorrected.reml
 0.083892,-0.038984,-0.036943,-0.090833,-0.053405, 0.105259,-0.025742,-0.056756,largedata/VCAP/h2_teo-maize/NAM_Fuma2_Res_With_IBM_For_GWAS_famCorrected.reml
 0.037806,-0.001853, 0.023688,-0.016538,-0.015448, 0.281037, 0.022584, 0.331275,largedata/VCAP/h2_teo-maize/NAM_Gluc_Res_With_IBM_For_GWAS_famCorrected.reml
 0.019201,-0.007521, 0.006500,-0.004312,-0.015380, 0.163706, 0.008384, 0.170578,largedata/VCAP/h2_teo-maize/NAM_Glut_Res_With_IBM_For_GWAS_famCorrected.reml
-0.005263, 0.018902, 0.005925,-0.006452, 0.006809, 0.637834,-0.022377, 0.635377,largedata/VCAP/h2_teo-maize/NAM_Kwt_5loc_residuals_famCorrected.reml
-0.014091, 0.014049, 0.003683,-0.020642, 0.005636, 0.288463,-0.016916, 0.260182,largedata/VCAP/h2_teo-maize/NAM_Mala_Res_With_IBM_For_GWAS_famCorrected.reml
 0.068435, 0.000193, 0.010602,-0.011273,-0.046779, 0.076054, 0.006456, 0.103689,largedata/VCAP/h2_teo-maize/NAM_Nitr_Res_With_IBM_For_GWAS_famCorrected.reml
 0.042771,-0.030492, 0.028139,-0.036605,-0.020912, 0.827668, 0.016861, 0.827431,largedata/VCAP/h2_teo-maize/NAM_nlb_residuals_famCorrected.reml
 0.021305,-0.001571,-0.001643, 0.014300, 0.023602, 0.709109,-0.001379, 0.763723,largedata/VCAP/h2_teo-maize/NAM_nphavg_famCorrected.reml
 0.021299,-0.007949, 0.000255, 0.003930,-0.000909, 0.743461,-0.006310, 0.753776,largedata/VCAP/h2_teo-maize/NAM_nteavg_famCorrected.reml
 0.023657, 0.001724, 0.005516,-0.002433, 0.000106, 0.747449,-0.006988, 0.769031,largedata/VCAP/h2_teo-maize/NAM_nttavg_famCorrected.reml
-0.016602, 0.010947, 0.001000,-0.009107, 0.013704, 0.829166,-0.023004, 0.806103,largedata/VCAP/h2_teo-maize/NAM_phtavg_famCorrected.reml
-0.034844, 0.009965, 0.002863,-0.004046, 0.021686, 0.801509,-0.027705, 0.769428,largedata/VCAP/h2_teo-maize/NAM_phtdivdtravg_famCorrected.reml
-0.003042,-0.014749,-0.004207, 0.045248, 0.013616, 0.758078,-0.022591, 0.772353,largedata/VCAP/h2_teo-maize/NAM_phtdivnphavg_famCorrected.reml
 0.047989, 0.007186, 0.029292,-0.029342,-0.008274, 0.616470,-0.042922, 0.620398,largedata/VCAP/h2_teo-maize/NAM_ppgddta_pop_famCorrected.reml
 0.076974, 0.007814, 0.014233,-0.030120,-0.029006, 0.626744,-0.038372, 0.628266,largedata/VCAP/h2_teo-maize/NAM_ppgddts_pop_famCorrected.reml
 0.048093,-0.010458, 0.005814, 0.035141,-0.000315, 0.135121,-0.024235, 0.189160,largedata/VCAP/h2_teo-maize/NAM_Prot_Res_With_IBM_For_GWAS_famCorrected.reml
0.081429,0.081429,0.081429,0.081429,0.081429,0.081429,0.081429,0.570000,largedata/VCAP/h2_teo-maize/NAM_Residual_boxcox_noIBM_famCorrected.reml
 0.050553,-0.005396,-0.003411,-0.008542,-0.013023, 0.748717, 0.021313, 0.790212,largedata/VCAP/h2_teo-maize/NAM_Residual_leaf_length_noIBM_famCorrected.reml
 0.009771, 0.023534,-0.006603, 0.023469, 0.000096, 0.778345,-0.030968, 0.797645,largedata/VCAP/h2_teo-maize/NAM_Residual_leaf_width_noIBM_famCorrected.reml
 0.005770,-0.006666, 0.018365,-0.006361, 0.008006, 0.792496,-0.026640, 0.784969,largedata/VCAP/h2_teo-maize/NAM_residuals_distancebased_for_d2a_famCorrected.reml
-0.002145,-0.003824, 0.017496,-0.010283, 0.011274, 0.824215,-0.026688, 0.810046,largedata/VCAP/h2_teo-maize/NAM_residuals_distancebased_for_d2s_famCorrected.reml
-0.010571, 0.049275, 0.000016,-0.011127, 0.003130, 0.731243,-0.010377, 0.751588,largedata/VCAP/h2_teo-maize/NAM_residuals_distancebased_for_slbv2_famCorrected.reml
-0.088506,-0.010250, 0.048090,-0.058309,-0.104832, 0.232830, 0.012358, 0.031380,largedata/VCAP/h2_teo-maize/NAM_ResPrin1_Res_With_IBM_For_GWAS_famCorrected.reml
-0.003254, 0.016885,-0.003215, 0.031804, 0.019743, 0.345867,-0.032384, 0.375446,largedata/VCAP/h2_teo-maize/NAM_ResPrin2_Res_With_IBM_For_GWAS_famCorrected.reml
 0.041854,-0.049063,-0.008724,-0.013181, 0.175853,-0.045264,-0.009990, 0.091485,largedata/VCAP/h2_teo-maize/NAM_rpravg_famCorrected.reml
 0.010883,-0.004617, 0.003530,-0.022495, 0.015629, 0.815577,-0.017823, 0.800685,largedata/VCAP/h2_teo-maize/NAM_sf_residuals_nopop_famCorrected.reml
 0.049242, 0.018895, 0.012669,-0.033093,-0.001337, 0.779506,-0.014235, 0.811648,largedata/VCAP/h2_teo-maize/NAM_so_residuals_nopop_famCorrected.reml
 0.017855, 0.011497, 0.013995,-0.017709,-0.009223, 0.400292,-0.005592, 0.411114,largedata/VCAP/h2_teo-maize/NAM_Star_Res_With_IBM_For_GWAS_famCorrected.reml
 0.016662, 0.011888, 0.008930, 0.003794,-0.012271, 0.137196,-0.004402, 0.161796,largedata/VCAP/h2_teo-maize/NAM_Sucr_Res_With_IBM_For_GWAS_famCorrected.reml
 0.038519,-0.002249, 0.032843, 0.005625,-0.004138, 0.783336,-0.025629, 0.828307,largedata/VCAP/h2_teo-maize/NAM_tassel_branches_famCorrected.reml
-0.000961, 0.014082, 0.021638,-0.031256, 0.009272, 0.780945,-0.013266, 0.780454,largedata/VCAP/h2_teo-maize/NAM_tassel_length_famCorrected.reml
 0.028755, 0.006623,-0.002227,-0.004782, 0.001489, 0.758269,-0.039557, 0.748571,largedata/VCAP/h2_teo-maize/NAM_thtavg_famCorrected.reml
 0.087699,-0.059084, 0.035085,-0.097741, 0.034511, 0.740517,-0.120273, 0.620715,largedata/VCAP/h2_teo-maize/NAM_thtdivnttavg_famCorrected.reml
