trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_K6,Her_ALL,pretty_name
AA_Res_With_IBM_For_GWAS,0.013723,0.015980,0.004639,0.003720,0.004182,0.393830,0.436075,Total amino acids
asiavg,-0.049291, 0.184926,-0.027985,-0.129570,-0.041658, 0.840119,0.776541,Anthesis-silking interval
Chla_Res_With_IBM_For_GWAS,0.06013, 0.013697, 0.009804,-0.033176,-0.002760, 0.289495,0.337191,Chlorophyll A
Chlb_Res_With_IBM_For_GWAS,0.009012, 0.037418,-0.095587,-0.038826,-0.093306, 0.132840,-0.04845,Chlorophyll B
dtaavg,0.021969,-0.004417,-0.008574,-0.019124,-0.010018, 0.807175,0.787011,NA
dtsavg,0.016421, 0.002314,-0.006164,-0.017105,-0.009735, 0.826277,0.812007,NA
ehtavg,-0.01335, 0.042499,-0.049754,-0.057602, 0.013697, 0.860709,0.796199,Ear height
ehtdivphtavg,-0.000618, 0.018679,-0.006200,-0.047718, 0.007369, 0.773788,0.745299,Ratio of ear height to total height
Fruc_Res_With_IBM_For_GWAS,0.020018, 0.007416, 0.029203,-0.016673,-0.005195, 0.144585,0.179353,Fructose
Fuma_Res_With_IBM_For_GWAS,-0.022479, 0.011300,-0.082093,-0.028084, 0.016484, 0.027474,-0.077399,Fumarate
Fuma2_Res_With_IBM_For_GWAS,-0.06274, 0.037602,-0.046251,-0.000112,-0.017406,-0.029395,-0.118302,NA
Gluc_Res_With_IBM_For_GWAS,0.021316, 0.007799, 0.031986,-0.044959, 0.001412, 0.321437,0.338991,Glucose
Glut_Res_With_IBM_For_GWAS,0.035609,-0.003824, 0.001008, 0.009660,-0.003601, 0.130277,0.16913,Glutamate
Kwt_5loc_residuals,0.004377, 0.015508, 0.007773,-0.049748, 0.026802, 0.628387,0.633098,100 Kernel weight
Mala_Res_With_IBM_For_GWAS,0.005845,-0.006784, 0.002415,-0.027463, 0.000650, 0.286467,0.26113,Malate
Nitr_Res_With_IBM_For_GWAS,0.041272, 0.008971,-0.000091, 0.019160,-0.041954,-0.051458,-0.0241,Nitrate
nlb_residuals,0.003511,-0.013772, 0.021597,-0.023254, 0.007548, 0.829461,0.82509,Northern Leaf Blight
nphavg,0.051997,-0.005429, 0.001658, 0.013975,-0.001491, 0.700262,0.760972,Nodes per plant
nteavg,0.034221,-0.006266, 0.002021,-0.033672, 0.006129, 0.746631,0.749064,Nodes to ear
nttavg,0.014364,0.013302,0.002839,0.009680,0.001178,0.728103,0.769467,Nodes above ear
phtavg,0.001415, 0.026753,-0.006088,-0.040668,-0.001699, 0.823447,0.80316,Plant height
phtdivdtravg,-0.003526, 0.028369,-0.007504,-0.043627, 0.001114, 0.792067,0.766893,Height per day (until flowering)
phtdivnphavg,0.015376, 0.010464,-0.013917, 0.018070,-0.004573, 0.745374,0.770793,Average internode length (whole plant)
ppgddta_pop,0.091089, 0.022485, 0.031546,-0.157474,-0.046173, 0.565639,0.507112,Photoperiod growing-degree days to anthesis
ppgddts_pop,0.019257,-0.003654,-0.003437,-0.025731,-0.008962, 0.647016,0.624489,Photoperiod Growing-degree days to silk
Prot_Res_With_IBM_For_GWAS,0.032885,-0.011486, 0.000429,-0.000025, 0.004398, 0.156966,0.183166,Protein
Residual_boxcox_noIBM,0.093333,0.093333,0.093333,0.093333,0.093333,0.093333,0.56,Boxcox-transformed leaf angle
Residual_leaf_length_noIBM,0.043832,-0.006379, 0.009581,-0.008373, 0.009059, 0.738074,0.785794,Leaf length
Residual_leaf_width_noIBM,-0.003962, 0.030833,-0.008709,-0.020219,-0.004389, 0.803556,0.797111,Leaf width
residuals_distancebased_for_d2a,0.017062,-0.005438,-0.006560,-0.021787,-0.008226, 0.810783,0.785834,Days to anthesis
residuals_distancebased_for_d2s,0.012746, 0.022799, 0.006786, 0.059816,-0.038273, 0.779415,0.843289,Days to silk
residuals_distancebased_for_slbv2,0.000663, 0.024141, 0.007264,-0.014108,-0.008720, 0.742371,0.75161,Southern leaf blight
ResPrin1_Res_With_IBM_For_GWAS,0.037738, 0.010007, 0.008778, 0.009682,-0.005094, 0.170505,0.231616,PCA of metabolites: PC1
ResPrin2_Res_With_IBM_For_GWAS,0.012926, 0.012930, 0.012032,-0.033257,-0.003090, 0.371025,0.372566,PCA of metabolites: PC2
rpravg,-0.018345, 0.015025,-0.007352, 0.019895,-0.009647, 0.246812,0.246387,Stalk strength
sf_residuals_nopop,0.030704,-0.008029, 0.001357,-0.026172,-0.007109, 0.808226,0.798977,Cob diameter
so_residuals_nopop,0.052328, 0.009026,-0.001327,-0.025804,-0.007453, 0.784677,0.811447,Ear row number
Star_Res_With_IBM_For_GWAS,-0.008249, 0.038933, 0.013792, 0.132653,-0.042285, 0.219507,0.354351,Starch
Sucr_Res_With_IBM_For_GWAS,-0.014781, 0.014965, 0.036856,-0.009759,-0.008836, 0.140039,0.158483,Sucrose
tassel_branches,0.019295,-0.007609, 0.036606,-0.021177, 0.007509, 0.791911,0.826535,Tassel branch number
tassel_length,0.019996, 0.008721, 0.016824,-0.036101, 0.001432, 0.768584,0.779455,Tassel length
thtavg,0.019151, 0.022028,-0.014949,-0.035287,-0.009004, 0.769947,0.751886,Height above ear
thtdivnttavg,-0.004165,-0.002223,-0.012018, 0.010186, 0.001413, 0.694721,0.687913,Average internode length (above ear)
