f,Freq
0,588584
1,163416
2,102996
3,68800
4,55036
5,43753
6,37477
7,31595
8,28487
9,25629
10,23434
11,21364
12,20252
13,19050
14,18230
15,16883
16,16452
17,15860
18,15301
19,14506
20,14413
21,13833
22,13609
23,13144
24,12953
25,12719
26,12447
27,12400
28,12377
29,12280
30,12466
31,12544
32,12774
33,12826
34,13090
35,13358
36,13655
37,14093
38,14480
39,15332
40,15788
41,16609
42,17056
43,18198
44,19130
45,20534
46,21769
47,22893
48,25140
49,26588
50,29020
51,31516
52,33935
53,36792
54,39886
55,43709
56,46920
57,50736
58,55105
59,59906
60,65035
61,69927
62,75318
63,81318
64,87605
65,94724
66,100873
67,109191
68,117428
69,126244
70,136527
71,146495
72,158654
73,170666
74,184516
75,198816
76,214919
77,231526
78,249208
79,269458
80,289779
81,312173
82,332108
83,354951
84,376252
85,398389
86,418614
87,437199
88,454312
89,468443
90,479086
91,485759
92,487472
93,484218
94,473362
95,455406
96,426246
97,387835
98,337761
99,274709
100,202358
101,125183
102,53121
