f,Freq
0,652198
1,171292
2,109185
3,74588
4,60386
5,47890
6,41870
7,36602
8,33445
9,30188
10,28903
11,27271
12,26139
13,24700
14,23920
15,23034
16,23183
17,22302
18,21739
19,21362
20,21241
21,21270
22,21115
23,21307
24,21545
25,21794
26,22433
27,23144
28,24042
29,25442
30,26684
31,28087
32,30156
33,32245
34,35583
35,38999
36,43118
37,48329
38,53781
39,59729
40,67124
41,75174
42,84354
43,93454
44,104591
45,115801
46,129573
47,143649
48,158562
49,175851
50,194931
51,216285
52,240608
53,267682
54,298232
55,332152
56,371271
57,413274
58,460234
59,507578
60,559545
61,613482
62,664772
63,713496
64,757318
65,794049
66,821078
67,833747
68,830733
69,807594
70,752335
71,663786
72,535510
73,363671
74,173102
