f,Freq
0,13566047
1,1344230
2,270881
3,91848
4,47478
5,29684
6,21188
7,16054
8,12919
9,10716
10,9061
11,8066
12,7146
13,6228
14,5464
15,4979
16,4448
17,4047
18,3732
19,3364
20,3159
21,2758
22,2547
23,2333
24,2060
25,1941
26,1718
27,1553
28,1433
29,1280
30,1179
31,1058
32,992
33,850
34,774
35,680
36,639
37,603
38,486
39,479
40,458
41,418
42,350
43,296
44,288
45,210
46,254
47,188
48,163
49,171
50,138
51,106
52,110
53,116
54,79
55,84
56,66
57,52
58,70
59,45
60,48
61,42
62,30
63,30
64,32
65,19
66,16
67,21
68,19
69,8
70,11
71,11
72,8
73,8
74,3
75,4
76,7
77,2
78,4
79,3
80,1
81,1
82,2
83,2
84,1
85,2
86,0
87,0
88,0
89,2
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
