f,Freq
0,292423
1,82926
2,65180
3,42914
4,38378
5,30660
6,29284
7,25084
8,23884
9,21035
10,20078
11,18312
12,17981
13,16971
14,16561
15,15979
16,15389
17,14358
18,14553
19,13288
20,13556
21,12858
22,12784
23,12251
24,12422
25,11951
26,11944
27,11482
28,11430
29,11381
30,11137
31,11153
32,10852
33,10879
34,10862
35,10955
36,10787
37,10810
38,11053
39,11042
40,11087
41,10965
42,11253
43,11249
44,11643
45,11445
46,11682
47,11925
48,12129
49,12296
50,12369
51,12418
52,12824
53,13113
54,13301
55,13765
56,14444
57,14598
58,15039
59,15607
60,16088
61,16781
62,17485
63,18220
64,19197
65,19731
66,20938
67,22006
68,23231
69,24487
70,26106
71,27886
72,29892
73,31869
74,34267
75,36969
76,40828
77,44293
78,48992
79,53915
80,60425
81,67565
82,77107
83,87672
84,100892
85,117904
86,138538
87,163925
88,197798
89,237887
90,291315
91,359213
92,445485
93,555848
94,696298
95,868617
96,1077360
97,1312673
98,1542126
99,1690212
100,1651186
101,1303894
102,665094
