f,Freq
0,312037
1,86822
2,69674
3,46117
4,41779
5,33304
6,32642
7,27461
8,27230
9,23709
10,23688
11,21664
12,21537
13,20169
14,20041
15,18714
16,18178
17,17529
18,17597
19,16473
20,16945
21,16346
22,16540
23,15822
24,15922
25,15737
26,15926
27,15653
28,15739
29,15486
30,16000
31,15959
32,16118
33,16433
34,16883
35,17076
36,17512
37,17809
38,18701
39,19155
40,19884
41,20591
42,21723
43,22550
44,24035
45,25134
46,26866
47,28235
48,30433
49,32662
50,35820
51,38546
52,41847
53,46114
54,50860
55,57298
56,65018
57,74504
58,85883
59,100629
60,119305
61,144152
62,176803
63,220984
64,279483
65,361653
66,475090
67,632043
68,850997
69,1145082
70,1519813
71,1936330
72,2251158
73,2163123
74,1359198
