trait,Her_K1,Her_K2,Her_K3,Her_K4,Her_K5,Her_ALL,pretty_name,h2
asiavg,0.009362,0,0,0.603765175828381,0.396234824171619,0.706853,Anthesis-silking interval,1
dtaavg,0,0,0,0.44534685151071,0.55465314848929,0.782869,NA,1
dtsavg,0,0.004449,0,0.495533275037636,0.504466724962364,0.79936,NA,1
ehtavg,0.003207,0.016512,0,0.49607896114986,0.50392103885014,0.778032,Ear height,1
ehtdivphtavg,0,0,0,0.23313351551273,0.76686648448727,0.715012,Ratio of ear height to total height,1
Kwt_5loc_residuals,0,0,0,0.554188272920209,0.445811727079791,0.623016,100 Kernel weight,1
nlb_residuals,0,0,0,0.489889101675598,0.510110898324402,0.794314,Northern Leaf Blight,1
nphavg,0,0.003209,0,0.530042401046124,0.469957598953876,0.75271,Nodes per plant,1
nteavg,0,0.012792,0,0.410667218145743,0.589332781854257,0.746319,Nodes to ear,1
nttavg,0,0,0,0.876226529704635,0.123773470295365,0.738602,Nodes above ear,1
phtavg,0.019753,0.004276,0,0.528706625158328,0.471293374841672,0.787565,Plant height,1
phtdivdtravg,0.023121,0.00067,0,0.615558125330346,0.384441874669654,0.74894,Height per day (until flowering),1
phtdivnphavg,0.017502,0,0,0.302509389843489,0.697490610156511,0.743587,Average internode length (whole plant),1
ppgddta_pop,0,0,0.611568507673351,0.388431492326649,0,0.621606,Photoperiod growing-degree days to anthesis,1
ppgddts_pop,0.00237,0,0.658296682976237,0.341703317023763,0,0.62548,Photoperiod Growing-degree days to silk,1
Residual_leaf_length_noIBM,0,0,0,0.603704973897517,0.396295026102483,0.763829,Leaf length,1
Residual_leaf_width_noIBM,0.000362,0,0,0.572100200150524,0.427899799849476,0.783546,Leaf width,1
residuals_distancebased_for_d2a,0,0.004247,0,0.618233022023104,0.381766977976896,0.772741,Days to anthesis,1
residuals_distancebased_for_d2s,0,0.003415,0,0.548118928641215,0.451881071358785,0.795157,Days to silk,1
residuals_distancebased_for_slbv2,0,0,0.183596821444904,0.487482289785833,0.328920888769263,0.750446,Southern leaf blight,1
rpravg,0,0,0,0.903515547736287,0.0964844522637129,0.298723,Stalk strength,1
sf_residuals_nopop,0.00342,0.007072,0,0.667720600398893,0.332279399601107,0.783249,Cob diameter,1
so_residuals_nopop,0,0,0,0.451470536006152,0.548529463993848,0.792609,Ear row number,1
tassel_branches,0,0,0,0.636004491823246,0.363995508176754,0.796265,Tassel branch number,1
tassel_length,0,0,0,0.638774206782512,0.361225793217488,0.758172,Tassel length,1
thtavg,0.004097,0,0,0.53808077582957,0.46191922417043,0.725635,Height above ear,1
thtdivnttavg,0.015242,0.003265,0,0.735608381456614,0.264391618543386,0.661142,Average internode length (above ear),1
