address	lat	lng	id	elv_m	elv_ft
"Yucatan Peninsula, Mexico"	18.806656	-89.3985283	PI628514	242	794
"Heroica Veracruz, Ver., Mexico"	19.173773	-96.1342241	PI620860	13	42.7
"Tamaulipas, Mexico"	24.26694	-98.8362755	PI628503	223	731.6
"Sonora, Mexico"	29.2972247	-110.3308814	PI620859	497	1630.6
"Sinaloa, Mexico"	25.1721091	-107.4795173	PI620856	345	1131.9
"Puebla City, Puebla, Mexico"	19.0414398	-98.2062727	PI620846	2149	7050.5
"Oaxaca, Mexico"	17.0731842	-96.7265889	PI620842	1597	5239.5
"Nayarit, Mexico"	21.7513844	-104.8454619	AMES8235	354	1161.4
"Michoacán, Mexico"	19.5665192	-101.7068294	PI620834	2046	6712.6
"Jalisco, Mexico"	20.6595382	-103.3494376	PI620821	1556	5105
"Hidalgo, Mexico"	20.0910963	-98.7623874	PI620819	2377	7798.6
"Guerrero, Mexico"	17.4391926	-99.5450974	PI620797	2142	7027.6
"Durango, Mexico"	24.5592665	-104.6587821	PI620785	1935	6348.4
"Colima, Mexico"	19.1222634	-104.0072348	PI620784	487	1597.8
"Chiapas, Mexico"	16.7569318	-93.1292353	PI620774	540	1771.7
"Baja California Sur, Mexico"	26.0444446	-111.6660725	PI620773	525	1722.4
"Aguascalientes, Mexico"	21.8852562	-102.2915677	PI620767	1878	6161.4
