f,Freq
0,303409
1,86170
2,66733
3,45118
4,39386
5,32405
6,30405
7,26225
8,24588
9,21982
10,21215
11,19698
12,19409
13,18280
14,17562
15,17184
16,16426
17,15698
18,15284
19,14693
20,14509
21,13900
22,14082
23,13849
24,13449
25,13349
26,13252
27,12849
28,12703
29,12701
30,12589
31,12756
32,13039
33,12773
34,12471
35,13036
36,13100
37,13063
38,13310
39,13603
40,13811
41,14001
42,14021
43,14396
44,14721
45,14908
46,15700
47,15970
48,16372
49,16852
50,17423
51,18011
52,19011
53,19595
54,20717
55,21687
56,23120
57,23926
58,25524
59,27297
60,29037
61,30901
62,33379
63,35471
64,39189
65,42593
66,47191
67,52082
68,58629
69,66113
70,75465
71,86079
72,100136
73,118641
74,141566
75,170823
76,209430
77,261844
78,329358
79,420005
80,544780
81,711625
82,929275
83,1206059
84,1537638
85,1861360
86,2040789
87,1840445
88,1078975
