ftb,Freq
0,219389
1,52181
2,36917
3,22457
4,18584
5,14294
6,13057
7,10786
8,9763
9,8416
10,7846
11,6849
12,6382
13,5821
14,5571
15,5465
16,5136
17,4685
18,4494
19,4211
20,4160
21,3938
22,3735
23,3638
24,3640
25,3367
26,3377
27,3225
28,3262
29,3277
30,3078
31,3044
32,2809
33,2967
34,2881
35,2908
36,2890
37,2934
38,2929
39,2875
40,2875
41,2943
42,2909
43,2825
44,2998
45,2982
46,2916
47,3040
48,2998
49,2976
50,2933
51,2997
52,3066
53,3188
54,3100
55,3190
56,3198
57,3375
58,3380
59,3474
60,3377
61,3556
62,3733
63,3776
64,4018
65,4033
66,4170
67,4321
68,4419
69,4476
70,4775
71,4988
72,5212
73,5455
74,5659
75,5716
76,6210
77,6433
78,6811
79,7052
80,7500
81,7689
82,8269
83,8757
84,9263
85,10376
86,11030
87,11827
88,13398
89,14353
90,16211
91,18165
92,20659
93,23508
94,26973
95,30951
96,36359
97,42355
98,49447
99,56932
100,64831
101,69154
102,59801
