ftb,Freq
0,29347
1,10929
2,8825
3,5891
4,5316
5,4324
6,3863
7,3509
8,3043
9,2734
10,2436
11,2314
12,2115
13,1871
14,1729
15,1711
16,1609
17,1488
18,1344
19,1300
20,1255
21,1160
22,1134
23,1099
24,1073
25,976
26,994
27,926
28,932
29,973
30,870
31,830
32,798
33,821
34,801
35,807
36,768
37,827
38,806
39,771
40,764
41,772
42,735
43,720
44,801
45,762
46,808
47,809
48,755
49,710
50,770
51,755
52,739
53,811
54,778
55,756
56,754
57,801
58,815
59,838
60,766
61,848
62,822
63,857
64,898
65,938
66,964
67,942
68,957
69,1024
70,1061
71,1099
72,1123
73,1110
74,1211
75,1216
76,1269
77,1364
78,1436
79,1456
80,1512
81,1538
82,1636
83,1758
84,1783
85,1966
86,2017
87,2207
88,2413
89,2476
90,2799
91,2991
92,3221
93,3484
94,3890
95,4195
96,4675
97,4994
98,5358
99,5657
100,5812
101,5610
102,4176
