ftb,Freq
0,413189
1,89021
2,48331
3,30215
4,21495
5,15495
6,12550
7,9681
8,7953
9,6552
10,5955
11,4941
12,4448
13,3921
14,3643
15,3201
16,2940
17,2706
18,2678
19,2559
20,2325
21,2211
22,2015
23,1903
24,1867
25,1847
26,1711
27,1613
28,1554
29,1564
30,1453
31,1409
32,1441
33,1390
34,1337
35,1338
36,1363
37,1328
38,1288
39,1317
40,1340
41,1275
42,1262
43,1175
44,1253
45,1252
46,1303
47,1294
48,1276
49,1270
50,1324
51,1181
52,1314
53,1356
54,1309
55,1367
56,1428
57,1503
58,1434
59,1489
60,1613
61,1714
62,1692
63,1705
64,1847
65,1851
66,1966
67,2065
68,2166
69,2166
70,2292
71,2384
72,2512
73,2605
74,2864
75,2886
76,3026
77,3123
78,3285
79,3399
80,3731
81,3644
82,3915
83,4062
84,4257
85,4483
86,4871
87,4884
88,5138
89,5268
90,5580
91,5562
92,5684
93,5814
94,5745
95,5541
96,5121
97,4776
98,4345
99,3688
100,3042
101,2158
102,1265
